,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,DZK15_IMG_7695-3762.png,nan,0,65501,33,2,0.0,0.0,0.9999695,0.99946594,0.0
1,1,DZKN15_IMG_6840-2907.png,0.9182319,8922,55025,1211,378,0.9593548,0.88048947,0.99317724,0.9757538,0.84882504
2,2,DZK15_IMG_6840-3078.png,0.97184575,466,65043,12,15,0.96881497,0.9748954,0.99976945,0.999588,0.9452333
3,3,DZK15_IMG_7524-3249.png,0.86189485,34306,20236,1605,9389,0.7851242,0.9553062,0.68307173,0.8322449,0.7573068
4,4,KBY15_IMG_29925-23256.png,0.8604987,6557,56853,774,1352,0.8290555,0.894421,0.9767718,0.9675598,0.7551538
5,5,KBY15_IMG_3078-14535.png,0.041965764,38,63763,11,1724,0.021566402,0.7755102,0.9736742,0.973526,0.0214326
6,6,DZK15_IMG_8037-4104.png,0.89023364,13240,49031,470,2795,0.8256938,0.96571845,0.94606954,0.95018005,0.8021812
7,7,DZK15_IMG_3249-8208.png,0.83642066,29846,24016,4263,7411,0.80108434,0.8750183,0.76418364,0.8218689,0.7188343
8,8,DZKN15_IMG_5985-3762.png,0.8099081,14403,44372,299,6462,0.69029474,0.97966266,0.87288034,0.8968353,0.6805424
9,9,KBY15_IMG_11286-9747.png,0.8250896,19692,37495,6305,2044,0.90596247,0.75747204,0.9483042,0.87260437,0.7022574
10,10,DZKN15_IMG_4617-5643.png,0.90229887,1099,64199,112,126,0.8971428,0.90751445,0.9980412,0.9963684,0.82198954
11,11,DZK15_IMG_1197-9918.png,0.9365944,6529,58123,303,581,0.9182841,0.9556499,0.9901029,0.98651123,0.88075006
12,12,DZK15_IMG_4446-7182.png,0.82662773,27747,26150,1110,10529,0.724919,0.96153444,0.712942,0.82240295,0.70448893
13,13,DZK15_IMG_3591-9918.png,0.9027843,35019,22975,1563,5979,0.85416365,0.9572741,0.7935,0.8849182,0.8227955
14,14,DZK15_IMG_2736-10260.png,nan,0,64572,11,953,0.0,0.0,0.98545593,0.9852905,0.0
15,15,KBY15_IMG_3933-13509.png,0.9504044,12044,52235,402,855,0.9337158,0.9677005,0.9838953,0.9808197,0.9054958
16,16,DZK15_IMG_7524-5985.png,0.79469097,8562,52550,142,4282,0.6666148,0.9836857,0.92465514,0.9324951,0.6593254
17,17,DZK15_IMG_5985-10773.png,0.93647903,34970,25822,1332,3412,0.91110414,0.9633078,0.8832866,0.9276123,0.8805459
18,18,DZK15_IMG_3933-8721.png,0.9367388,5153,59687,119,577,0.89930195,0.9774279,0.99042547,0.9893799,0.8810053
19,19,DZKN15_IMG_5643-684.png,0.95868987,3249,62007,121,159,0.95334506,0.96409494,0.9974423,0.99572754,0.9206574
20,20,KBY15_IMG_19836-15732.png,0.88161045,37334,18175,747,9280,0.80091816,0.98038393,0.6619924,0.8470001,0.78828573
21,21,DZK15_IMG_7866-3078.png,0.9414346,19949,43105,750,1732,0.9201144,0.96376634,0.9613712,0.9621277,0.8893496
22,22,DZK15_IMG_7524-7182.png,0.77363014,2259,61955,788,534,0.80880773,0.741385,0.9914545,0.9798279,0.6308294
23,23,DZK15_IMG_2394-13680.png,0.9551922,7184,57678,96,578,0.92553467,0.9868132,0.9900783,0.9897156,0.91422755
24,24,DZKN15_IMG_7866-4788.png,0.91613084,6696,57614,125,1101,0.8587918,0.98167425,0.9812484,0.9812927,0.8452411
25,25,DZK15_IMG_7353-1539.png,0.90813255,603,64811,33,89,0.8713873,0.9481132,0.9986287,0.9981384,0.83172417
26,26,KBY15_IMG_30780-24282.png,0.49066827,815,63029,245,1447,0.36030063,0.7688679,0.97755754,0.9741821,0.32508975
27,27,DZK15_IMG_7182-7866.png,0.9278776,4728,60073,41,694,0.87200296,0.9914028,0.98857933,0.9887848,0.86545855
28,28,KBY15_IMG_4104-13167.png,0.9762795,8746,56365,18,407,0.9555337,0.99794614,0.992831,0.993515,0.9536583
29,29,KBY15_IMG_7182-9918.png,0.9075337,8318,55523,11,1684,0.8316337,0.99867934,0.97056305,0.97413635,0.83072007
30,30,KBY15_IMG_7524-9405.png,0.89612424,31734,26445,1595,5762,0.8463303,0.9521438,0.8210948,0.8877411,0.8117981
31,31,DZK15_IMG_3420-12312.png,0.42573246,1039,61694,934,1869,0.35729024,0.52660924,0.9705961,0.9572296,0.27043205
32,32,DZK15_IMG_3933-10602.png,0.8892194,36767,19608,1589,7572,0.8292248,0.9585723,0.7214128,0.86021423,0.8005356
33,33,DZK15_IMG_2223-2736.png,0.9279361,7198,57220,43,1075,0.87005925,0.9940616,0.98155934,0.9829407,0.86556035
34,34,KBY15_IMG_9747-4104.png,0.85079503,24987,31785,1550,7214,0.7759697,0.94159096,0.8150209,0.866272,0.7403336
35,35,DZK15_IMG_3591-6156.png,0.86542445,209,65262,48,17,0.92477876,0.81322956,0.9997396,0.9990082,0.76277375
36,36,DZK15_IMG_3078-4446.png,0.87189764,3917,60468,0,1151,0.7728887,1.0,0.9813207,0.98243713,0.7728887
37,37,DZK15_IMG_4788-9234.png,0.71131825,11523,44660,1190,8163,0.58533984,0.906395,0.84546506,0.85728455,0.5519736
38,38,KBY15_IMG_29583-12483.png,0.89734036,29151,29715,1754,4916,0.85569614,0.9432454,0.85804623,0.8982239,0.8137964
39,39,DZKN15_IMG_6669-3249.png,0.82685727,3990,59875,967,704,0.8500213,0.80492234,0.9883788,0.97450256,0.7048225
40,40,DZK15_IMG_2736-11286.png,0.95772725,4214,60950,155,217,0.95102686,0.9645228,0.99645233,0.99432373,0.91888356
41,41,DZK15_IMG_3762-7182.png,0.9139407,14305,48537,51,2643,0.8440524,0.9964475,0.9483587,0.9588928,0.8415201
42,42,DZKN15_IMG_5814-4788.png,0.90909094,1120,64192,211,13,0.98852605,0.84147257,0.9997975,0.99658203,0.8333333
43,43,DZK15_IMG_5301-2394.png,0.6510557,848,63779,14,895,0.4865175,0.9837587,0.98616135,0.98612976,0.48264086
44,44,DZK15_IMG_2223-9576.png,0.73076206,3884,58790,922,1940,0.6668956,0.8081565,0.9680553,0.95632935,0.57574856
45,45,KBY15_IMG_12825-7695.png,0.7537369,22187,28851,4228,10270,0.68358135,0.8399394,0.7374812,0.7787781,0.6047976
46,46,DZK15_IMG_4788-8721.png,0.5,2,65530,4,0,1.0,0.33333334,1.0,0.99993896,0.33333334
47,47,DZK15_IMG_8550-4959.png,0.9406836,5614,59214,32,676,0.8925278,0.99433225,0.98871267,0.9891968,0.88801014
48,48,DZK15_IMG_4104-7353.png,0.873126,16482,44264,29,4761,0.7758791,0.9982436,0.9028863,0.9269104,0.77482134
49,49,DZK15_IMG_1368-6327.png,0.92938566,6278,58304,219,735,0.89519465,0.96629214,0.9875506,0.9854431,0.8680863
50,50,DZKN15_IMG_6156-4104.png,0.96711665,1397,64044,9,86,0.94200945,0.9935989,0.99865896,0.9985504,0.9363271
51,51,DZK15_IMG_5814-3078.png,0.57877946,9797,41479,1558,12702,0.43544158,0.8627917,0.76556355,0.78240967,0.40724114
52,52,KBY15_IMG_14877-22743.png,0.917597,1726,63500,0,310,0.84774065,1.0,0.9951418,0.9952698,0.84774065
53,53,DZK15_IMG_4959-2907.png,0.88847554,10747,52091,720,1978,0.84455794,0.93721116,0.9634171,0.9588318,0.7993306
54,54,KBY15_IMG_14193-3249.png,0.88570875,4580,59774,93,1089,0.80790263,0.9800984,0.98210734,0.9819641,0.79486287
55,55,KBY15_IMG_20178-22914.png,0.95632094,2485,62824,63,164,0.93808985,0.97527474,0.99739635,0.99653625,0.9162979
56,56,KBY15_IMG_8037-16416.png,0.005197119,35,52102,10331,3068,0.011279407,0.003376423,0.94439006,0.7955475,0.0026053297
57,57,KBY15_IMG_19836-15903.png,0.94965404,1990,63335,11,200,0.9086758,0.9945027,0.9968521,0.9967804,0.9041345
58,58,DZK15_IMG_3249-13509.png,0.9057451,6054,58222,76,1184,0.8364189,0.98760194,0.98006934,0.9807739,0.8277276
59,59,KBY15_IMG_23256-18810.png,0.8050578,24735,28822,3416,8563,0.7428374,0.8786544,0.7709509,0.81721497,0.6737212
60,60,DZK15_IMG_4617-5301.png,0.8505458,33190,20682,946,10718,0.7558987,0.9722873,0.65866244,0.8220215,0.7399563
61,61,DZK15_IMG_3420-3249.png,0.8589926,2720,61923,467,426,0.8645899,0.8534672,0.9931675,0.9863739,0.752837
62,62,DZK15_IMG_6840-4617.png,0.8190397,3949,59842,1074,671,0.8547619,0.78618354,0.98891145,0.9733734,0.69353706
63,63,DZK15_IMG_1197-8208.png,0.8877183,28229,30166,3341,3800,0.8813575,0.89417166,0.8881234,0.891037,0.7981057
64,64,KBY15_IMG_20520-23085.png,0.53571427,165,65085,7,279,0.3716216,0.9593023,0.9957316,0.995636,0.36585367
65,65,DZK15_IMG_4446-2565.png,0.43585002,1296,60885,136,3219,0.28704318,0.9050279,0.9497847,0.94880676,0.27864975
66,66,KBY15_IMG_12483-21717.png,0.9592885,2804,62494,153,85,0.9705781,0.94825834,0.9986417,0.9963684,0.921762
67,67,KBY15_IMG_10602-3762.png,0.97221476,7313,57805,90,328,0.9570737,0.98784274,0.99435776,0.9936218,0.945932
68,68,DZKN15_IMG_8379-4959.png,0.66263235,1971,61558,839,1168,0.627907,0.70142347,0.98137933,0.9693756,0.4954751
69,69,DZKN15_IMG_7182-4275.png,0.92369825,2173,63004,9,350,0.86127627,0.99587536,0.9944755,0.9945221,0.85821486
70,70,KBY15_IMG_32661-24282.png,0.9757123,17415,47254,416,451,0.97475654,0.97666985,0.99054605,0.98677063,0.9525763
71,71,DZK15_IMG_3420-8892.png,0.9216722,2877,62170,168,321,0.89962476,0.94482756,0.9948633,0.99253845,0.8547237
72,72,DZK15_IMG_4788-11628.png,0.8370091,21784,35268,603,7881,0.7343334,0.9730647,0.81735384,0.87054443,0.719704
73,73,KBY15_IMG_30096-12654.png,0.89425313,34638,22706,2119,6073,0.85082656,0.9423511,0.7889781,0.875,0.8087322
74,74,DZK15_IMG_2736-14022.png,0.8769597,39044,15536,5569,5387,0.8787558,0.8751709,0.74253213,0.8328247,0.78088
75,75,KBY15_IMG_27702-27189.png,0.81186754,24792,29254,6059,5431,0.8203024,0.8036044,0.8434194,0.8246765,0.683314
76,76,KBY15_IMG_28557-24111.png,0.87143755,9066,53795,779,1896,0.8270389,0.9208735,0.965955,0.95918274,0.7721659
77,77,DZK15_IMG_3420-12483.png,0.94321793,5490,59385,5,656,0.89326394,0.9990901,0.9890741,0.98991394,0.8925378
78,78,DZK15_IMG_3420-5814.png,0.6510716,13777,36992,3033,11734,0.54004157,0.8195717,0.759184,0.77467346,0.48265836
79,79,DZK15_IMG_2223-11457.png,0.9625135,4442,60748,242,104,0.9771227,0.94833475,0.99829096,0.99472046,0.927736
80,80,DZK15_IMG_3420-8721.png,0.91596276,10627,52959,176,1774,0.856947,0.9837082,0.9675881,0.97024536,0.8449551
81,81,DZK15_IMG_7182-3762.png,0.8218139,21218,35117,1836,7365,0.74232936,0.92036086,0.82663244,0.8596039,0.69752455
82,82,DZK15_IMG_4275-4446.png,0.33259988,1436,58337,52,5711,0.20092346,0.96505374,0.9108325,0.9120636,0.19947214
83,83,KBY15_IMG_13509-22401.png,0.81615525,9043,52419,590,3484,0.72188073,0.93875223,0.93767774,0.9378357,0.6894107
84,84,DZK15_IMG_4788-11115.png,0.9011858,18240,43296,2,3998,0.82021767,0.9998904,0.91546494,0.93896484,0.8201439
85,85,KBY15_IMG_7011-10431.png,0.9142925,3835,60982,200,519,0.8807993,0.95043373,0.9915611,0.98902893,0.84211683
