,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,DZK15_IMG_7695-3762.png,0.88294315,396,65035,9,96,0.80487806,0.9777778,0.99852604,0.9983978,0.79041916
1,1,DZKN15_IMG_6840-2907.png,nan,0,65510,23,3,0.0,0.0,0.9999542,0.9996033,0.0
2,2,DZK15_IMG_6840-3078.png,0.9258468,5631,59003,15,887,0.8639153,0.99734324,0.9851895,0.9862366,0.86193174
3,3,DZK15_IMG_7524-3249.png,0.95380676,16756,47157,615,1008,0.943256,0.96459615,0.9790719,0.975235,0.9116927
4,4,KBY15_IMG_29925-23256.png,0.96540654,15935,48459,499,643,0.96121365,0.96963614,0.9869048,0.98257446,0.93312645
5,5,KBY15_IMG_3078-14535.png,0.9796664,10190,54923,174,249,0.9761471,0.9832111,0.99548686,0.99354553,0.9601432
6,6,DZK15_IMG_8037-4104.png,0.9253882,2741,62353,0,442,0.8611373,1.0,0.9929612,0.9932556,0.8611373
7,7,DZK15_IMG_3249-8208.png,0.7175343,15493,37845,3794,8404,0.6483241,0.8032872,0.81828797,0.8138733,0.55949587
8,8,DZKN15_IMG_5985-3762.png,0.3786295,489,63442,1271,334,0.59416765,0.2778409,0.9947629,0.97550964,0.23352435
9,9,KBY15_IMG_11286-9747.png,0.8561474,24818,32378,1719,6621,0.7894017,0.9352225,0.8302264,0.8727417,0.748477
10,10,DZKN15_IMG_4617-5643.png,0.8961045,9259,54130,586,1561,0.8557301,0.9404774,0.9719703,0.9672394,0.81176573
11,11,DZK15_IMG_1197-9918.png,0.5804935,494,64328,675,39,0.9268293,0.4225834,0.9993941,0.9891052,0.4089404
12,12,DZK15_IMG_4446-7182.png,0.86548454,2831,61825,417,463,0.8594414,0.8716133,0.99256676,0.98657227,0.76286715
13,13,DZK15_IMG_3591-9918.png,0.86393195,1727,63265,3,541,0.7614638,0.9982659,0.9915212,0.9916992,0.76045793
14,14,DZK15_IMG_2736-10260.png,0.88040984,19936,40184,610,4806,0.8057554,0.9703105,0.89317626,0.9173584,0.78636795
15,15,KBY15_IMG_3933-13509.png,0.9208633,8576,55486,8,1466,0.85401314,0.999068,0.974259,0.97750854,0.85333335
16,16,DZK15_IMG_7524-5985.png,0.8464756,24384,32307,1165,7680,0.76047903,0.9544014,0.80793756,0.865036,0.73381686
17,17,DZK15_IMG_5985-10773.png,0.9111579,16671,45614,982,2269,0.8802006,0.94437206,0.95261365,0.9503937,0.83681357
