,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,DZK15_IMG_7695-3762.png,0.96289855,1661,63747,108,20,0.9881023,0.9389486,0.99968636,0.9980469,0.92845166
1,1,DZKN15_IMG_6840-2907.png,0.87783104,35115,20647,1771,8003,0.81439304,0.9519872,0.7206632,0.8508606,0.7822629
2,2,DZK15_IMG_6840-3078.png,0.83571255,24295,31689,4305,5247,0.82238847,0.8494755,0.8579435,0.85424805,0.7177889
3,3,DZK15_IMG_7524-3249.png,0.9721228,8282,56779,307,168,0.98011833,0.9642566,0.99704987,0.9927521,0.9457577
4,4,KBY15_IMG_29925-23256.png,0.8473711,10629,51078,2144,1685,0.8631639,0.8321459,0.9680647,0.9415741,0.7351639
5,5,KBY15_IMG_3078-14535.png,0.785203,20897,33206,2157,9276,0.69257283,0.90643704,0.7816487,0.82554626,0.6463656
6,6,DZK15_IMG_8037-4104.png,0.7338767,2071,61963,404,1098,0.65351844,0.8367677,0.9825883,0.9770813,0.57962495
7,7,DZK15_IMG_3249-8208.png,0.5859264,2881,58583,184,3888,0.42561677,0.9399674,0.9377631,0.9378662,0.41435352
8,8,DZKN15_IMG_5985-3762.png,0.88659436,32843,24291,2558,5844,0.8489415,0.9277422,0.80607265,0.87179565,0.79629046
9,9,KBY15_IMG_11286-9747.png,0.8963087,31421,26845,1808,5462,0.8519101,0.9455897,0.83093446,0.8890686,0.812101
10,10,DZKN15_IMG_4617-5643.png,0.8843393,4989,59242,19,1286,0.79505974,0.99620605,0.9787536,0.9800873,0.7926597
11,11,DZK15_IMG_1197-9918.png,0.50075114,1000,62542,60,1934,0.34083164,0.9433962,0.9700043,0.969574,0.33400133
12,12,DZK15_IMG_4446-7182.png,0.84386635,8045,54514,2867,110,0.98651135,0.7372617,0.99798626,0.9545746,0.7299038
13,13,DZK15_IMG_3591-9918.png,0.6858974,856,63896,130,654,0.56688744,0.86815417,0.98986834,0.9880371,0.5219512
14,14,DZK15_IMG_2736-10260.png,0.8324494,19148,38680,5410,2298,0.8928472,0.77970517,0.94392115,0.88238525,0.7129878
15,15,KBY15_IMG_3933-13509.png,0.8479248,29225,25828,3209,7274,0.80070686,0.90106064,0.78025496,0.8400421,0.7359978
16,16,DZK15_IMG_7524-5985.png,nan,0,65500,33,3,0.0,0.0,0.9999542,0.9994507,0.0
17,17,DZK15_IMG_5985-10773.png,0.80488235,25223,28084,1867,10362,0.7088099,0.9310816,0.7304791,0.81340027,0.6734754
18,18,DZK15_IMG_3933-8721.png,0.97142416,6306,58859,124,247,0.96230733,0.9807154,0.99582106,0.994339,0.94443613
19,19,DZKN15_IMG_5643-684.png,0.9409283,2007,63277,78,174,0.9202201,0.9625899,0.9972577,0.9961548,0.8884462
20,20,KBY15_IMG_19836-15732.png,0.63973063,190,65132,2,212,0.47263682,0.9895833,0.99675566,0.9967346,0.47029704
21,21,DZK15_IMG_7866-3078.png,0.5630323,6610,48666,4328,5932,0.52702916,0.6043152,0.89135134,0.8434448,0.3918198
22,22,DZK15_IMG_7524-7182.png,0.89620984,35882,21343,1945,6366,0.8493183,0.9485817,0.77025515,0.8731842,0.8119385
23,23,DZK15_IMG_2394-13680.png,0.6016103,6538,50339,685,7974,0.4505237,0.90516406,0.8632552,0.86787415,0.4302165
24,24,DZKN15_IMG_7866-4788.png,0.9683244,3271,62051,117,97,0.9711995,0.9654664,0.9984392,0.9967346,0.938594
25,25,DZK15_IMG_7353-1539.png,0.9430317,4784,60174,492,86,0.9823409,0.9067475,0.9985728,0.9911804,0.8922044
26,26,KBY15_IMG_30780-24282.png,0.9056358,13201,49584,509,2242,0.85482097,0.9628738,0.95673984,0.9580231,0.8275451
27,27,DZK15_IMG_7182-7866.png,0.45079005,1184,61467,789,2096,0.36097562,0.60010135,0.96702486,0.9559784,0.29098058
28,28,KBY15_IMG_4104-13167.png,nan,0,65527,4,5,0.0,0.0,0.9999237,0.9998627,0.0
29,29,KBY15_IMG_7182-9918.png,0.7981078,23452,30219,3674,8191,0.7411434,0.864558,0.78674823,0.81895447,0.66404283
30,30,KBY15_IMG_7524-9405.png,0.90263253,8246,55511,365,1414,0.8536232,0.95761234,0.9751603,0.9728546,0.8225436
31,31,DZK15_IMG_3420-12312.png,0.87075007,3355,61185,198,798,0.80784976,0.94427246,0.9871255,0.98480225,0.7710871
32,32,DZK15_IMG_3933-10602.png,0.90574723,13766,48905,674,2191,0.8626935,0.9533241,0.95711994,0.95628357,0.8277314
