,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,DZK15_IMG_7695-3762.png,0.6217819,3828,57051,978,3679,0.50992405,0.7965044,0.9394204,0.9289398,0.45114908
1,1,DZKN15_IMG_6840-2907.png,0.92047095,2228,62923,227,158,0.9337804,0.9075356,0.9974953,0.99412537,0.85265976
2,2,DZK15_IMG_6840-3078.png,0.922908,35310,24327,992,4907,0.8779869,0.97267365,0.8321475,0.9099884,0.85685164
3,3,DZK15_IMG_7524-3249.png,0.9157795,3871,60953,164,548,0.87599003,0.95935565,0.9910896,0.98913574,0.84464324
4,4,KBY15_IMG_29925-23256.png,0.87646216,6481,57228,490,1337,0.8289844,0.9297088,0.97717065,0.9721222,0.78009146
5,5,KBY15_IMG_3078-14535.png,0.90478396,4889,59618,383,646,0.88328815,0.9273521,0.9892805,0.9842987,0.8261237
6,6,DZK15_IMG_8037-4104.png,0.7199705,14691,39417,6825,4603,0.7614284,0.6827942,0.8954339,0.82562256,0.5624641
7,7,DZK15_IMG_3249-8208.png,0.8855609,17740,43211,2653,1932,0.90178937,0.86990637,0.9572027,0.93003845,0.79462487
8,8,DZKN15_IMG_5985-3762.png,nan,0,65528,4,4,0.0,0.0,0.99993896,0.9998779,0.0
9,9,KBY15_IMG_11286-9747.png,0.9369972,8269,56155,848,264,0.9690613,0.90698695,0.99532074,0.9830322,0.8814625
10,10,DZKN15_IMG_4617-5643.png,0.8130118,14346,44591,356,6243,0.69677985,0.9757856,0.8771885,0.89930725,0.68493676
11,11,DZK15_IMG_1197-9918.png,0.8288729,21324,35407,1730,7075,0.75087154,0.92495877,0.8334589,0.86564636,0.70775664
12,12,DZK15_IMG_4446-7182.png,0.71975636,827,64065,342,302,0.73250663,0.7074423,0.99530816,0.99017334,0.5622026
13,13,DZK15_IMG_3591-9918.png,0.8975119,35458,21980,2369,5729,0.8609027,0.9373728,0.79324406,0.8764343,0.81407845
14,14,DZK15_IMG_2736-10260.png,0.7746977,13680,43899,736,7221,0.65451413,0.94894564,0.85874414,0.8785858,0.6322503
15,15,KBY15_IMG_3933-13509.png,0.87111443,16478,44182,33,4843,0.7728531,0.99800134,0.90121365,0.92559814,0.7716587
16,16,DZK15_IMG_7524-5985.png,0.97674674,8737,56383,27,389,0.9573745,0.9969192,0.993148,0.99365234,0.95455045
17,17,DZK15_IMG_5985-10773.png,0.7915099,4102,59273,394,1767,0.69892657,0.91236657,0.97105175,0.96702576,0.6549577
18,18,DZK15_IMG_3933-8721.png,0.4982767,1012,62486,48,1990,0.33710858,0.954717,0.9691358,0.9689026,0.3318033
19,19,DZKN15_IMG_5643-684.png,0.96080154,5466,59624,29,417,0.9291178,0.9947225,0.99305475,0.9931946,0.9245602
20,20,KBY15_IMG_19836-15732.png,0.78633565,13017,45445,1887,5187,0.7150626,0.8733897,0.89755493,0.8920593,0.6479021
21,21,DZK15_IMG_7866-3078.png,0.97329575,8802,56251,217,266,0.97066605,0.9759397,0.99529344,0.99263,0.94798064
22,22,DZK15_IMG_7524-7182.png,0.7948286,24991,27643,4204,8698,0.74181485,0.85600275,0.760656,0.8031311,0.65951496
23,23,DZK15_IMG_2394-13680.png,0.8782459,32604,23892,2921,6119,0.8419802,0.9177762,0.79610807,0.86206055,0.7829219
24,24,DZKN15_IMG_7866-4788.png,0.9805499,6705,58565,205,61,0.9909843,0.97033286,0.9989595,0.99594116,0.96184194
25,25,DZK15_IMG_7353-1539.png,0.9739548,10134,54860,277,265,0.9745168,0.9733935,0.99519277,0.99172974,0.9492319
26,26,KBY15_IMG_30780-24282.png,0.9141539,8322,55651,7,1556,0.8424782,0.9991596,0.97280055,0.9761505,0.84188163
27,27,DZK15_IMG_7182-7866.png,0.70460165,9838,47449,2847,5402,0.64553803,0.7755617,0.8977881,0.87413025,0.5439266
