,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,DZK15_IMG_7695-3762.png,0.870198,21225,37979,4395,1937,0.91637164,0.8284543,0.9514731,0.90338135,0.7702217
1,1,DZKN15_IMG_6840-2907.png,0.96759737,3240,62079,179,38,0.98840755,0.9476455,0.9993883,0.99668884,0.9372288
2,2,DZK15_IMG_6840-3078.png,0.7613231,16019,39473,5497,4547,0.77890694,0.7445157,0.89670604,0.8467407,0.6146261
3,3,DZK15_IMG_7524-3249.png,0.9247367,1800,63443,5,288,0.86206895,0.99722993,0.995481,0.9955292,0.86000955
4,4,KBY15_IMG_29925-23256.png,0.7833462,29097,20344,1492,14603,0.66583526,0.95122427,0.58213866,0.7544098,0.6438529
5,5,KBY15_IMG_3078-14535.png,0.95028526,583,64892,27,34,0.9448947,0.9557377,0.9994763,0.9990692,0.9052795
6,6,DZK15_IMG_8037-4104.png,0.9558102,5840,59156,0,540,0.9153605,1.0,0.99095416,0.99176025,0.9153605
7,7,DZK15_IMG_3249-8208.png,nan,0,61849,3687,0,nan,0.0,1.0,0.94374084,0.0
8,8,DZKN15_IMG_5985-3762.png,0.94512194,620,64844,8,64,0.90643275,0.9872612,0.99901396,0.99890137,0.8959538
9,9,KBY15_IMG_11286-9747.png,0.8289779,20746,36230,5251,3309,0.8624402,0.7980152,0.9163105,0.86938477,0.70790964
10,10,DZKN15_IMG_4617-5643.png,0.90033793,31971,26487,1258,5820,0.84599507,0.9621415,0.8198533,0.8919983,0.81874055
11,11,DZK15_IMG_1197-9918.png,0.92622805,37760,21761,1171,4844,0.88630176,0.9699212,0.81792897,0.9082184,0.8625928
12,12,DZK15_IMG_4446-7182.png,0.91613066,14244,48684,196,2412,0.8551873,0.9864266,0.95279473,0.9602051,0.84524095
13,13,DZK15_IMG_3591-9918.png,0.9456143,7320,57374,127,715,0.9110143,0.98294616,0.9876913,0.9871521,0.896839
14,14,DZK15_IMG_2736-10260.png,0.20304567,20,65359,29,128,0.13513513,0.40816328,0.9980454,0.99760437,0.11299435
15,15,KBY15_IMG_3933-13509.png,0.83754206,995,64155,216,170,0.8540773,0.821635,0.9973572,0.9941101,0.7204924
16,16,DZK15_IMG_7524-5985.png,0.8441175,31616,22243,2493,9184,0.774902,0.92691076,0.7077672,0.8218231,0.73027974
17,17,DZK15_IMG_5985-10773.png,0.97740185,8261,56893,113,269,0.96846426,0.98650587,0.9952941,0.99417114,0.9558024
18,18,DZK15_IMG_3933-8721.png,0.9452275,4996,59961,45,534,0.9034358,0.9910732,0.99117285,0.99116516,0.8961435
19,19,DZKN15_IMG_5643-684.png,0.8949204,32197,25778,3328,4233,0.88380456,0.9063195,0.85895175,0.8846283,0.80982447
20,20,KBY15_IMG_19836-15732.png,0.94096524,4192,60818,490,36,0.99148536,0.8953439,0.9994084,0.9919739,0.8885121
21,21,DZK15_IMG_7866-3078.png,0.9615154,2411,62932,3,190,0.92695117,0.99875724,0.99698997,0.99705505,0.92588323
22,22,DZK15_IMG_7524-7182.png,0.93664646,13683,50002,814,1037,0.9295516,0.94385046,0.9796822,0.971756,0.88084203
23,23,DZK15_IMG_2394-13680.png,0.8960657,36430,20655,3042,5409,0.8707187,0.9229327,0.79247236,0.871048,0.8117021
24,24,DZKN15_IMG_7866-4788.png,0.9307496,4563,60294,267,412,0.9171859,0.9447205,0.9932132,0.9896393,0.8704693
25,25,DZK15_IMG_7353-1539.png,0.91242164,47018,9492,2123,6903,0.87197936,0.9567978,0.578957,0.86227417,0.83894795
26,26,KBY15_IMG_30780-24282.png,0.9710258,2480,62908,68,80,0.96875,0.9733124,0.99872994,0.9977417,0.9436834
27,27,DZK15_IMG_7182-7866.png,0.9412601,7283,57344,386,523,0.93300027,0.9496675,0.990962,0.98612976,0.8890381
28,28,KBY15_IMG_4104-13167.png,0.95798194,6418,58555,219,344,0.9491275,0.96700317,0.9941595,0.9914093,0.91935253
