,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,DZK15_IMG_7695-3762.png,0.7346395,1931,62210,430,965,0.6667818,0.8178738,0.984725,0.978714,0.58057725
1,1,DZKN15_IMG_6840-2907.png,0.5194805,60,65365,111,0,1.0,0.3508772,1.0,0.9983063,0.3508772
2,2,DZK15_IMG_6840-3078.png,nan,0,65430,2,104,0.0,0.0,0.998413,0.99838257,0.0
3,3,DZK15_IMG_7524-3249.png,0.7297232,19735,31182,4774,9845,0.66717374,0.8052144,0.76003605,0.77693176,0.57446
4,4,KBY15_IMG_29925-23256.png,0.8116881,26153,27248,1718,10417,0.71514904,0.93835884,0.7234302,0.8148346,0.68306
5,5,KBY15_IMG_3078-14535.png,0.92103684,36153,23184,1073,5126,0.87582064,0.9711761,0.81893325,0.90541077,0.8536315
6,6,DZK15_IMG_8037-4104.png,0.6827341,864,63869,122,681,0.5592233,0.87626773,0.98945004,0.9877472,0.51829636
7,7,DZK15_IMG_3249-8208.png,0.89832944,7179,56732,62,1563,0.82120794,0.9914377,0.9731881,0.97520447,0.8154248
8,8,DZKN15_IMG_5985-3762.png,0.761159,972,63954,197,413,0.70180506,0.8314799,0.9935837,0.99069214,0.6144121
9,9,KBY15_IMG_11286-9747.png,0.8616815,31136,24404,1283,8713,0.7813496,0.9604244,0.7369025,0.84747314,0.75697756
10,10,DZKN15_IMG_4617-5643.png,0.8407915,16741,42455,2410,3930,0.8098786,0.874158,0.9152743,0.9032593,0.7253152
11,11,DZK15_IMG_1197-9918.png,0.7332275,6694,53971,529,4342,0.60656035,0.92676175,0.92553973,0.92567444,0.5788154
12,12,DZK15_IMG_4446-7182.png,0.8779238,37853,17156,871,9656,0.7967543,0.9775075,0.6398628,0.8393707,0.7824101
13,13,DZK15_IMG_3591-9918.png,0.933914,34418,26247,1507,3364,0.9109629,0.9580515,0.88639355,0.92567444,0.87602127
14,14,DZK15_IMG_2736-10260.png,0.76832664,16733,38712,1577,8514,0.6627718,0.9138722,0.81971794,0.84602356,0.623807
15,15,KBY15_IMG_3933-13509.png,0.9250694,28500,32419,2174,2443,0.9210484,0.92912567,0.9299237,0.9295502,0.8605852
16,16,DZK15_IMG_7524-5985.png,0.8343206,31831,21063,2278,10364,0.7543785,0.9332141,0.6702199,0.8070984,0.71573764
17,17,DZK15_IMG_5985-10773.png,0.9073236,47277,8601,1864,7794,0.8584736,0.9620683,0.5246112,0.8526306,0.830368
18,18,DZK15_IMG_3933-8721.png,0.9273901,4598,60218,232,488,0.90405035,0.9519669,0.99196124,0.9890137,0.86461073
19,19,DZKN15_IMG_5643-684.png,0.89879817,1421,63795,80,240,0.85550874,0.9467022,0.99625206,0.9951172,0.8161976
20,20,KBY15_IMG_19836-15732.png,0.8395892,22972,33786,4553,4225,0.844652,0.83458674,0.88884795,0.86605835,0.72352755
21,21,DZK15_IMG_7866-3078.png,0.8442426,19979,38185,558,6814,0.74567986,0.9728295,0.8485744,0.8875122,0.7304669
22,22,DZK15_IMG_7524-7182.png,0.8836913,2777,62028,288,443,0.86242235,0.9060359,0.9929087,0.9888458,0.7916192
23,23,DZK15_IMG_2394-13680.png,0.93726593,5005,59861,36,634,0.8875687,0.9928586,0.9895198,0.9897766,0.88193834
24,24,DZKN15_IMG_7866-4788.png,0.8824684,20464,39621,918,4533,0.81865823,0.9570667,0.8973366,0.91682434,0.7896585
25,25,DZK15_IMG_7353-1539.png,0.81784755,24241,30497,9102,1696,0.9346108,0.7270192,0.9473177,0.8352356,0.6918291
26,26,KBY15_IMG_30780-24282.png,0.80368024,24720,28739,82,11995,0.6732943,0.9966938,0.70552856,0.8157196,0.6717939
27,27,DZK15_IMG_7182-7866.png,0.97359276,15964,48706,470,396,0.9757946,0.97140074,0.99193513,0.9867859,0.94854426
28,28,KBY15_IMG_4104-13167.png,0.85987306,31765,23418,2790,7563,0.80769426,0.91925913,0.7558826,0.84202576,0.7541906
29,29,KBY15_IMG_7182-9918.png,0.81736463,8821,52773,127,3815,0.69808483,0.9858069,0.93258286,0.93984985,0.69113845
30,30,KBY15_IMG_7524-9405.png,0.9557095,4758,60337,358,83,0.9828548,0.93002343,0.9986263,0.9932709,0.915176
31,31,DZK15_IMG_3420-12312.png,0.82182854,20180,36606,5817,2933,0.8731017,0.7762434,0.92582005,0.8664856,0.6975458
32,32,DZK15_IMG_3933-10602.png,0.9490922,5593,59343,53,547,0.91091204,0.9906128,0.9908666,0.9908447,0.9031164
33,33,DZK15_IMG_2223-2736.png,0.95726496,4088,61083,281,84,0.9798658,0.93568325,0.9986267,0.99443054,0.91803277
34,34,KBY15_IMG_9747-4104.png,0.7161637,4794,56942,5,3795,0.5581558,0.9989581,0.93751746,0.9420166,0.55783105
35,35,DZK15_IMG_3591-6156.png,0.80176485,15992,41636,818,7090,0.69283426,0.95133847,0.8544925,0.8793335,0.6691213
36,36,DZK15_IMG_3078-4446.png,0.6570809,7266,50686,2004,5580,0.5656235,0.7838188,0.9008282,0.88427734,0.48929292
37,37,DZK15_IMG_4788-9234.png,0.9243539,24054,37545,647,3290,0.8796811,0.97380674,0.91943187,0.93992615,0.85934764
38,38,KBY15_IMG_29583-12483.png,0.90294415,30608,28348,2386,4194,0.87948966,0.92768383,0.8711204,0.89959717,0.8230612
39,39,DZKN15_IMG_6669-3249.png,0.8695954,32552,23221,2849,6914,0.8248112,0.91952205,0.7705658,0.85102844,0.76927805
40,40,DZK15_IMG_2736-11286.png,nan,0,65344,192,0,nan,0.0,1.0,0.9970703,0.0
41,41,DZK15_IMG_3762-7182.png,0.87381136,35333,19998,1269,8936,0.79814315,0.96532977,0.6911592,0.84428406,0.77590144
42,42,DZKN15_IMG_5814-4788.png,0.94296473,6638,58095,726,77,0.98853314,0.90141225,0.99867636,0.9877472,0.8920844
43,43,DZK15_IMG_5301-2394.png,0.8977681,4123,60474,595,344,0.9229908,0.87388724,0.99434376,0.985672,0.8145002
44,44,DZK15_IMG_2223-9576.png,0.93351966,4676,60194,93,573,0.89083636,0.980499,0.99057055,0.98983765,0.8753276
45,45,KBY15_IMG_12825-7695.png,0.92664605,13820,49528,677,1511,0.9014415,0.95330065,0.9703952,0.96661377,0.8633183
46,46,DZK15_IMG_4788-8721.png,0.926046,34980,24969,1725,3862,0.9005715,0.9530037,0.86604697,0.91474915,0.8622772
47,47,DZK15_IMG_8550-4959.png,0.6985401,3134,59697,32,2673,0.5396935,0.9898926,0.95714283,0.958725,0.5367357
48,48,DZK15_IMG_4104-7353.png,0.9363853,15095,48390,11,2040,0.88094544,0.9992718,0.9595479,0.9687042,0.8803803
49,49,DZK15_IMG_1368-6327.png,0.94433475,6455,58320,315,446,0.9353717,0.9534712,0.9924106,0.98838806,0.8945399
50,50,DZKN15_IMG_6156-4104.png,0.8390565,11240,49984,784,3528,0.7611051,0.93479705,0.9340709,0.9342041,0.7227366
51,51,DZK15_IMG_5814-3078.png,0.8285141,9699,51822,86,3929,0.7116965,0.99121106,0.9295259,0.93873596,0.7072335
52,52,KBY15_IMG_14877-22743.png,0.8054298,8900,52336,431,3869,0.69700056,0.95380986,0.9311627,0.9343872,0.67424244
53,53,DZK15_IMG_4959-2907.png,0.7923524,23063,30385,3301,8787,0.72411305,0.8747914,0.7756816,0.81555176,0.6561122
54,54,KBY15_IMG_14193-3249.png,0.5764576,4454,54537,352,6193,0.4183338,0.9267582,0.898024,0.9001312,0.4049459
55,55,KBY15_IMG_20178-22914.png,0.7860338,28906,20893,905,14832,0.66088986,0.9696421,0.58482856,0.75987244,0.64749235
56,56,KBY15_IMG_8037-16416.png,0.95452213,13947,50260,215,1114,0.92603415,0.9848185,0.9783159,0.97972107,0.91300076
57,57,KBY15_IMG_19836-15903.png,nan,0,65530,6,0,nan,0.0,1.0,0.99990845,0.0
58,58,DZK15_IMG_3249-13509.png,0.8574513,9531,52836,1425,1744,0.84532154,0.86993426,0.9680469,0.9516449,0.7504724
59,59,KBY15_IMG_23256-18810.png,0.9868766,8272,57044,102,118,0.9859356,0.98781943,0.9979357,0.99664307,0.97409326
60,60,DZK15_IMG_4617-5301.png,0.93379444,6615,57983,217,721,0.90171754,0.9682377,0.98771805,0.98568726,0.8758109
61,61,DZK15_IMG_3420-3249.png,0.893827,15124,46819,906,2687,0.8491382,0.94348097,0.9457238,0.9451752,0.8080355
62,62,DZK15_IMG_6840-4617.png,0.92036134,14365,48685,75,2411,0.8562828,0.9948061,0.9528143,0.96206665,0.85247165
63,63,DZK15_IMG_1197-8208.png,0.8856144,6581,57255,863,837,0.8871664,0.8840677,0.9855918,0.97406006,0.79471076
64,64,KBY15_IMG_20520-23085.png,0.88343996,5044,59161,173,1158,0.81328607,0.9668392,0.98080206,0.97969055,0.79121566
65,65,DZK15_IMG_4446-2565.png,0.89013684,2536,62374,306,320,0.8879552,0.89232934,0.9948958,0.990448,0.802024
66,66,KBY15_IMG_12483-21717.png,0.9387596,39802,20541,1074,4119,0.906218,0.97372544,0.83296835,0.9207611,0.88458717
67,67,KBY15_IMG_10602-3762.png,0.60741496,1794,61423,47,2272,0.44121987,0.9744704,0.96433,0.96461487,0.43617797
68,68,DZKN15_IMG_8379-4959.png,0.97944516,4360,60993,13,170,0.9624724,0.9970272,0.9972205,0.99720764,0.9597182
69,69,DZKN15_IMG_7182-4275.png,0.7635985,4766,57819,347,2604,0.6466757,0.9321338,0.9569038,0.9549713,0.6175975
70,70,KBY15_IMG_32661-24282.png,0.93187153,7140,57352,593,451,0.9405875,0.92331564,0.99219763,0.9840698,0.872434
71,71,DZK15_IMG_3420-8892.png,0.89089113,4499,59935,18,1084,0.8058392,0.9960151,0.982235,0.9831848,0.8032494
72,72,DZK15_IMG_4788-11628.png,0.2857143,4,65512,16,4,0.5,0.2,0.99993896,0.9996948,0.16666667
73,73,KBY15_IMG_30096-12654.png,0.95035464,1005,64426,60,45,0.95714283,0.943662,0.999302,0.9983978,0.9054054
74,74,DZK15_IMG_2736-14022.png,0.8778301,3916,60530,1,1089,0.7824176,0.9997447,0.98232687,0.9833679,0.7822613
75,75,KBY15_IMG_27702-27189.png,0.81703126,28889,23708,677,12262,0.7020243,0.9771021,0.6591048,0.8025665,0.6906617
76,76,KBY15_IMG_28557-24111.png,0.76904756,11946,46415,767,6408,0.65086627,0.93966806,0.8786892,0.8905182,0.6247581
77,77,DZK15_IMG_3420-12483.png,0.8579592,5705,57942,167,1722,0.76814324,0.97155994,0.97113836,0.97117615,0.751251
78,78,DZK15_IMG_3420-5814.png,0.96321774,3221,62069,149,97,0.97076553,0.95578635,0.99843967,0.99624634,0.92904526
79,79,DZK15_IMG_2223-11457.png,0.8254934,23884,31554,4377,5721,0.8067556,0.8451223,0.8465191,0.84591675,0.70284265
80,80,DZK15_IMG_3420-8721.png,0.9208811,10033,53779,608,1116,0.89990133,0.9428625,0.9796703,0.97369385,0.85336393
81,81,DZK15_IMG_7182-3762.png,0.87608975,30399,26538,2035,6564,0.822417,0.9372572,0.8017038,0.8687897,0.7795015
82,82,DZK15_IMG_4275-4446.png,0.8842176,14449,47303,253,3531,0.80361515,0.9827915,0.9305386,0.94226074,0.7924642
83,83,KBY15_IMG_13509-22401.png,0.93342584,35648,24803,654,4431,0.88944334,0.98198444,0.8484299,0.92240906,0.87516266
84,84,DZK15_IMG_4788-11115.png,0.9390817,5195,59667,77,597,0.8969268,0.98539454,0.9900936,0.9897156,0.8851593
85,85,KBY15_IMG_7011-10431.png,0.97002727,1424,64024,73,15,0.9895761,0.95123583,0.99976575,0.9986572,0.9417989
86,86,DZKN15_IMG_1026-7011.png,0.60499823,1743,61517,49,2227,0.4390428,0.97265625,0.9650634,0.965271,0.43368998
87,87,DZKN15_IMG_8550-4275.png,0.95496786,16700,47261,671,904,0.94864804,0.9613724,0.9812312,0.9759674,0.9138167
88,88,DZK15_IMG_7695-2907.png,0.91906303,2413,62698,1,424,0.85054636,0.99958575,0.99328285,0.993515,0.85024667
89,89,DZK15_IMG_5130-11457.png,0.84289014,32670,20687,1466,10713,0.75306,0.95705414,0.65882164,0.8141632,0.72844434
90,90,KBY15_IMG_14535-22914.png,0.9300045,8251,56043,360,882,0.9034271,0.958193,0.98450595,0.9810486,0.86916673
91,91,DZK15_IMG_2394-10431.png,0.9186849,32261,27564,968,4743,0.8718247,0.9708688,0.8531897,0.91285706,0.8495997
92,92,KBY15_IMG_7524-17271.png,0.7712209,4829,57842,0,2865,0.6276319,1.0,0.9528061,0.95628357,0.6276319
93,93,KBY15_IMG_7695-15903.png,0.9637833,6919,58097,14,506,0.93185186,0.99798065,0.9913656,0.9920654,0.9300981
94,94,KBY15_IMG_15048-2223.png,0.8093747,26626,26368,716,11826,0.6924477,0.9738132,0.6903702,0.80862427,0.6797896
95,95,DZK15_IMG_4275-4275.png,0.9217379,6725,57669,22,1120,0.8572339,0.99673927,0.9809488,0.98257446,0.85483664
96,96,DZK15_IMG_6498-3420.png,0.34513566,1043,60535,17,3941,0.20926966,0.98396224,0.9388765,0.9396057,0.20855829
97,97,DZK15_IMG_4104-12996.png,0.9592012,2786,62513,188,49,0.982716,0.93678546,0.9992168,0.99638367,0.92160106
98,98,DZK15_IMG_3591-4275.png,0.8969725,33005,24949,1100,6482,0.8358447,0.9677467,0.7937705,0.88430786,0.8131914
99,99,DZK15_IMG_2907-12825.png,0.95883644,1747,63639,128,22,0.9875636,0.9317333,0.9996544,0.9977112,0.92092776
100,100,DZK15_IMG_2565-5643.png,0.64843917,1506,62397,70,1563,0.4907136,0.95558375,0.9755629,0.9750824,0.47977063
101,101,DZK15_IMG_7011-5472.png,0.82850224,9918,51512,448,3658,0.7305539,0.9567818,0.93369585,0.9373474,0.7072162
102,102,DZK15_IMG_5301-3420.png,nan,0,65532,4,0,nan,0.0,1.0,0.99993896,0.0
103,103,KBY15_IMG_11970-3762.png,0.97550285,2449,62964,99,24,0.9902952,0.961146,0.99961895,0.99812317,0.9521773
104,104,DZK15_IMG_2565-11115.png,0.80320287,11034,49095,1651,3756,0.74604464,0.8698463,0.9289323,0.9174957,0.6711271
105,105,DZK15_IMG_6156-3078.png,0.84151286,21682,35687,705,7462,0.74396104,0.9685085,0.82706434,0.87538147,0.72638947
106,106,KBY15_IMG_30438-24111.png,0.97723645,10110,54955,254,217,0.9789871,0.97549206,0.99606687,0.9928131,0.95548624
107,107,DZK15_IMG_1539-12483.png,0.9298733,15229,48010,0,2297,0.86893755,1.0,0.95434034,0.96495056,0.86893755
108,108,KBY15_IMG_19836-16416.png,0.6694099,2847,59877,17,2795,0.5046083,0.9940643,0.95540273,0.9570923,0.5030924
109,109,KBY15_IMG_13680-22401.png,0.84995925,26605,29538,1995,7398,0.78243095,0.93024474,0.7997076,0.8566742,0.73906887
110,110,DZK15_IMG_6156-1710.png,0.89410144,10997,51934,1776,829,0.9299002,0.8609567,0.9842882,0.96025085,0.808484
111,111,DZK15_IMG_4275-9918.png,0.791753,20622,34066,1633,9215,0.69115525,0.9266232,0.78708905,0.83447266,0.6552908
112,112,KBY15_IMG_23085-9234.png,0.9319037,6562,58015,356,603,0.91584086,0.94854003,0.9897131,0.9853668,0.87249035
113,113,DZK15_IMG_2907-10944.png,0.7949988,18535,37442,7085,2474,0.88224095,0.72345823,0.9380198,0.85414124,0.6597494
114,114,DZK15_IMG_2907-3762.png,0.96989286,6749,58368,161,258,0.96317965,0.9767004,0.9955992,0.99360657,0.9415458
115,115,DZK15_IMG_2394-11799.png,0.8606265,4588,59462,85,1401,0.76607114,0.9818104,0.9769811,0.97732544,0.75535065
116,116,DZK15_IMG_2736-9747.png,0.906757,6287,57956,19,1274,0.83150375,0.996987,0.97849065,0.9802704,0.82941955
117,117,DZK15_IMG_7353-6327.png,0.55352646,4395,54051,5954,1136,0.79461217,0.4246787,0.9794154,0.8918152,0.38267305
118,118,DZK15_IMG_5643-3933.png,0.9391166,3540,61537,157,302,0.9213951,0.9575331,0.99511635,0.9929962,0.8852213
119,119,DZK15_IMG_3591-9405.png,0.86995494,20089,39441,438,5568,0.7829832,0.97866225,0.8762914,0.9083557,0.76984096
120,120,DZK15_IMG_1368-10602.png,0.9735563,5007,60257,3,269,0.9490144,0.9994012,0.99555564,0.9958496,0.94847506
121,121,DZK15_IMG_5472-4446.png,0.7196517,9589,48476,1766,5705,0.6269779,0.8444738,0.89470476,0.8860016,0.562075
122,122,DZK15_IMG_2565-5130.png,0.8405522,32418,20819,5218,7081,0.8207296,0.86135614,0.74620074,0.81233215,0.7249592
123,123,KBY15_IMG_22743-9576.png,0.9110132,35028,23665,1566,5277,0.86907333,0.9572061,0.8176698,0.8955841,0.8365695
124,124,DZK15_IMG_4104-9405.png,0.9149294,18235,43910,7,3384,0.84347105,0.99961627,0.9284476,0.94825745,0.843198
125,125,KBY15_IMG_10773-3420.png,0.91510105,18022,44170,879,2465,0.8796798,0.95349455,0.9471427,0.9489746,0.84348965
126,126,DZK15_IMG_8721-4446.png,0.8179571,993,64101,30,412,0.70676154,0.9706745,0.9936137,0.9932556,0.6919861
127,127,KBY15_IMG_13680-20520.png,0.6208664,4844,54776,485,5431,0.47143552,0.90898854,0.90979457,0.909729,0.45018587
128,128,KBY15_IMG_20007-23598.png,0.94876784,8528,56087,56,865,0.90791017,0.9934762,0.9848118,0.98594666,0.90252936
129,129,KBY15_IMG_10773-2907.png,0.76102614,24088,26320,1108,14020,0.63209826,0.95602477,0.65245414,0.76916504,0.6142391
130,130,DZK15_IMG_5301-1368.png,0.792394,17273,39212,751,8300,0.67543894,0.9583333,0.8253073,0.8618927,0.6561693
131,131,KBY15_IMG_7011-16245.png,0.86453027,25211,32424,1915,5986,0.8081226,0.92940354,0.8441552,0.8794403,0.7613856
132,132,DZK15_IMG_4788-4446.png,0.93545026,7188,57356,481,511,0.9336277,0.93727994,0.9911694,0.9848633,0.8787286
133,133,DZKN15_IMG_6840-4617.png,0.9189518,8311,55759,18,1448,0.85162413,0.99783885,0.9746884,0.9776306,0.85005623
134,134,DZK15_IMG_5985-8550.png,0.77596235,1401,63326,2,807,0.6345109,0.9985745,0.9874168,0.98765564,0.63393664
135,135,KBY15_IMG_7011-9918.png,0.88809735,19821,40720,725,4270,0.8227554,0.96471334,0.90509003,0.92378235,0.7987186
136,136,DZK15_IMG_4104-1710.png,0.96489656,4824,60361,5,346,0.9330754,0.9989646,0.9943005,0.99464417,0.9321739
137,137,DZK15_IMG_7353-6156.png,0.86949223,32146,23740,4940,4710,0.8722053,0.8667961,0.8344464,0.8527527,0.76911664
138,138,DZK15_IMG_1881-6156.png,0.26832297,108,64839,0,589,0.15494978,1.0,0.99099773,0.9910126,0.15494978
139,139,DZK15_IMG_6840-9063.png,0.9715823,15710,48907,211,708,0.9568766,0.9867471,0.9857301,0.9859772,0.9447351
140,140,DZKN15_IMG_2565-6498.png,0.87880576,36499,18970,387,9680,0.7903809,0.9895082,0.66212916,0.8463898,0.7838122
141,141,DZK15_IMG_7011-7353.png,0.9590154,3896,61307,190,143,0.9645952,0.95349973,0.9976729,0.9949188,0.921258
142,142,DZK15_IMG_5472-3420.png,0.85979486,30429,25183,1335,8589,0.7798708,0.9579713,0.7456769,0.8485718,0.75407034
