,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,DZKN15_IMG_6669-3249.png,0.74003804,585,64540,277,134,0.81363004,0.6786543,0.9979281,0.99372864,0.5873494
1,1,KBY15_IMG_28215-22059.png,nan,0,64631,719,186,0.0,0.0,0.9971304,0.9861908,0.0
2,2,DZK15_IMG_3420-5814.png,0.2420601,282,63488,1691,75,0.789916,0.14292955,0.99882007,0.973053,0.13769531
3,3,KBY15_IMG_8037-16416.png,0.056694284,130,61080,4096,230,0.3611111,0.03076195,0.99624854,0.9339905,0.029174147
4,4,KBY15_IMG_29241-22914.png,0.6329499,6658,51156,7052,670,0.9085699,0.48563093,0.9870721,0.88217163,0.46300417
5,5,KBY15_IMG_29925-23256.png,0.47534436,7919,40136,16883,598,0.92978746,0.31928876,0.9853194,0.7332611,0.31177166
6,6,DZK15_IMG_7524-4104.png,0.17104968,3444,28711,32833,548,0.86272544,0.094936185,0.98127073,0.49064636,0.09352342
7,7,DZK15_IMG_3591-7353.png,0.8278866,10931,50060,3509,1036,0.9134286,0.7569945,0.97972447,0.9306488,0.70631945
8,8,DZKN15_IMG_5985-3762.png,0.4488721,1960,58763,4309,504,0.79545456,0.31264955,0.9914961,0.92655945,0.2893843
9,9,DZK15_IMG_6327-6327.png,0.20165351,4305,27144,33824,263,0.94242555,0.11290619,0.9904039,0.47987366,0.112132736
10,10,DZK15_IMG_7011-5985.png,0.17907086,3656,28359,33430,91,0.9757139,0.09858167,0.9968014,0.48851013,0.09834037
11,11,KBY15_IMG_7524-17271.png,0.23742868,4495,32167,28658,216,0.95414984,0.1355835,0.9933298,0.5594177,0.13470587
12,12,KBY15_IMG_28728-11457.png,0.30597442,6645,28746,29642,503,0.92963064,0.18312344,0.9828028,0.5400238,0.18061973
13,13,KBY15_IMG_3933-13509.png,0.5317565,7824,43933,11332,2447,0.7617564,0.408436,0.9472402,0.78974915,0.36217192
14,14,KBY15_IMG_20178-22914.png,0.8574486,4006,60198,1211,121,0.9706809,0.76787424,0.997994,0.9796753,0.7504683
15,15,DZK15_IMG_7524-5985.png,0.7695968,3073,60623,1645,195,0.9403305,0.6513353,0.9967937,0.9719238,0.6254834
16,16,KBY15_IMG_15732-2907.png,0.4200781,4787,47532,12257,960,0.8329563,0.2808613,0.9802029,0.7983246,0.26588535
17,17,DZK15_IMG_3591-9918.png,0.092801265,943,46156,18344,93,0.91023165,0.04889304,0.9979891,0.7186737,0.048658412
18,18,KBY15_IMG_16074-21717.png,0.68114203,4533,56759,4171,73,0.9841511,0.52079505,0.9987155,0.9352417,0.51646346
19,19,KBY15_IMG_12483-21033.png,0.940528,3242,61884,381,29,0.9911342,0.8948385,0.9995316,0.9937439,0.88773274
20,20,DZKN15_IMG_7182-4104.png,0.39513108,1477,59537,2153,2369,0.38403535,0.40688705,0.9617323,0.93099976,0.2462077
21,21,KBY15_IMG_12825-21204.png,0.79778695,4326,59017,2189,4,0.9990762,0.6640061,0.9999322,0.9665375,0.6635987
22,22,DZKN15_IMG_1881-5472.png,0.8927109,545,64860,83,48,0.91905564,0.8678344,0.9992605,0.9980011,0.806213
23,23,DZK15_IMG_1710-12312.png,0.27594727,5138,33435,25767,1196,0.8111778,0.16625142,0.9654645,0.5885773,0.16005732
24,24,DZK15_IMG_8037-4104.png,0.38625592,1793,58045,5178,520,0.77518374,0.25720844,0.991121,0.9130554,0.2393539
25,25,DZKN15_IMG_8721-5130.png,0.9715684,16676,47884,260,716,0.95883167,0.9846481,0.98526746,0.9851074,0.9447088
26,26,DZK15_IMG_1710-13338.png,0.64778,3487,58257,3643,149,0.9590209,0.4890603,0.9974489,0.9421387,0.47904932
27,27,DZK15_IMG_1881-7353.png,0.3836233,6648,37525,20694,669,0.9085691,0.24314241,0.98248416,0.6740265,0.23733534
28,28,DZK15_IMG_4275-2565.png,0.3629992,3004,51989,9709,834,0.78269935,0.23629355,0.98421144,0.8391266,0.22174652
29,29,DZK15_IMG_4104-2052.png,0.18463995,3355,32550,29620,11,0.996732,0.10174374,0.99966216,0.5478668,0.10170981
