,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.92787135,7384,57004,285,863,0.8953559,0.9628374,0.9850865,0.9824829,0.8654477
1,1,KBY15_IMG_3078-14535.png,0.37037036,5,65514,15,2,0.71428573,0.25,0.9999695,0.9997406,0.22727273
2,2,KBY15_IMG_11286-9747.png,0.9263257,987,64392,78,79,0.92589116,0.92676055,0.99877465,0.99760437,0.8627622
3,3,KBY15_IMG_3933-13509.png,nan,0,65533,2,1,0.0,0.0,0.99998474,0.9999542,0.0
4,4,KBY15_IMG_19836-15732.png,0.89198035,1090,64182,241,23,0.9793351,0.8189331,0.9996418,0.9959717,0.8050222
5,5,KBY15_IMG_30780-24282.png,0.95787024,7412,57472,321,331,0.9572517,0.9584896,0.99427366,0.99005127,0.91914684
6,6,KBY15_IMG_4104-13167.png,0.95305955,6487,58410,150,489,0.9299025,0.9773994,0.99169767,0.99024963,0.9103284
7,7,KBY15_IMG_7182-9918.png,0.8829902,3709,60844,590,393,0.9041931,0.86275876,0.9935823,0.9850006,0.79049444
8,8,KBY15_IMG_7524-9405.png,nan,0,65512,23,1,0.0,0.0,0.99998474,0.9996338,0.0
9,9,KBY15_IMG_9747-4104.png,0.9628043,11687,52946,354,549,0.9551324,0.9706004,0.98973733,0.9862213,0.9282764
10,10,KBY15_IMG_29583-12483.png,0.94494325,7157,57545,140,694,0.9116036,0.98081404,0.9880836,0.98727417,0.89563257
11,11,KBY15_IMG_12825-7695.png,0.980521,10143,54990,21,382,0.9637055,0.99793386,0.9931012,0.9938507,0.96178645
12,12,KBY15_IMG_14877-22743.png,0.42780748,1320,60685,112,3419,0.27853978,0.92178774,0.9466648,0.9461212,0.27210885
13,13,KBY15_IMG_14193-3249.png,0.9752317,6103,59123,140,170,0.97289973,0.9775749,0.9971329,0.9952698,0.9516607
14,14,KBY15_IMG_20178-22914.png,0.89893687,6849,57147,595,945,0.8787529,0.9200699,0.9837327,0.97650146,0.8164263
15,15,KBY15_IMG_8037-16416.png,0.9195562,1989,63199,49,299,0.8693182,0.9759568,0.9952912,0.99468994,0.85109115
16,16,KBY15_IMG_19836-15903.png,0.9405446,1226,64155,28,127,0.9061345,0.97767144,0.99802434,0.9976349,0.8877625
17,17,KBY15_IMG_23256-18810.png,0.94541687,3646,61469,51,370,0.9078685,0.98620504,0.9940167,0.99357605,0.8964839
18,18,KBY15_IMG_20520-23085.png,0.8574621,4220,59913,737,666,0.86369216,0.85132134,0.9890061,0.9785919,0.75048906
19,19,KBY15_IMG_12483-21717.png,0.93989724,3933,61100,102,401,0.90747577,0.9747212,0.9934798,0.9923248,0.88660955
20,20,KBY15_IMG_10602-3762.png,0.93979704,6252,58483,263,538,0.9207658,0.9596316,0.9908846,0.9877777,0.8864313
21,21,KBY15_IMG_32661-24282.png,0.93250203,6880,57660,484,512,0.93073595,0.93427485,0.99119854,0.98480225,0.87353987
22,22,KBY15_IMG_30096-12654.png,0.88469815,4316,60095,9,1116,0.79455084,0.9979191,0.981768,0.98283386,0.79323655
23,23,KBY15_IMG_27702-27189.png,0.97623605,4334,60991,39,172,0.96182865,0.99108166,0.99718785,0.9967804,0.9535754
24,24,KBY15_IMG_28557-24111.png,0.8722329,5004,59066,37,1429,0.77786416,0.99266016,0.9763782,0.9776306,0.77341574
25,25,KBY15_IMG_13509-22401.png,0.9310574,5591,59117,55,773,0.8785355,0.9902586,0.98709303,0.9873657,0.8710079
26,26,KBY15_IMG_7011-10431.png,0.9521457,3661,61507,110,258,0.9341669,0.97083,0.9958229,0.99438477,0.9086622
27,27,KBY15_IMG_14535-22914.png,0.16216215,3,65502,30,1,0.75,0.09090909,0.99998474,0.999527,0.0882353
28,28,KBY15_IMG_7524-17271.png,0.9536331,21832,41581,182,1941,0.9183528,0.99173254,0.95540184,0.9676056,0.9113755
29,29,KBY15_IMG_7695-15903.png,0.9769795,15830,48960,91,655,0.9602669,0.9942843,0.98679835,0.98861694,0.95499516
30,30,KBY15_IMG_15048-2223.png,0.6607744,785,63945,15,791,0.49809644,0.98125,0.98778117,0.9877014,0.49340037
31,31,KBY15_IMG_11970-3762.png,0.94543475,5224,59709,307,296,0.9463768,0.94449466,0.99506706,0.99079895,0.8965162
32,32,KBY15_IMG_30438-24111.png,0.9212303,614,64817,14,91,0.87092197,0.977707,0.99859804,0.9983978,0.85396385
33,33,KBY15_IMG_19836-16416.png,0.69441044,851,63936,11,738,0.535557,0.987239,0.9885889,0.98857117,0.531875
34,34,KBY15_IMG_13680-22401.png,0.9465284,593,64876,17,50,0.9222395,0.97213113,0.9992299,0.99897766,0.8984848
35,35,KBY15_IMG_23085-9234.png,0.63402385,505,64448,90,493,0.506012,0.8487395,0.9924085,0.9911041,0.46415442
36,36,KBY15_IMG_22743-9576.png,0.939648,2242,63006,213,75,0.96763057,0.9132383,0.99881107,0.99560547,0.88616604
37,37,KBY15_IMG_10773-3420.png,0.9396311,12125,51853,321,1237,0.90742403,0.9742086,0.97669995,0.9762268,0.88613605
38,38,KBY15_IMG_13680-20520.png,0.8800294,2395,62488,637,16,0.99336374,0.78990763,0.999744,0.990036,0.7857612
39,39,KBY15_IMG_20007-23598.png,0.8980392,229,65255,48,4,0.9828326,0.8267148,0.9999387,0.99920654,0.8149466
40,40,KBY15_IMG_10773-2907.png,0.9335142,1720,63571,10,235,0.8797954,0.99421966,0.99631697,0.9962616,0.87531805
41,41,KBY15_IMG_7011-16245.png,nan,0,65515,20,1,0.0,0.0,0.99998474,0.99967957,0.0
42,42,KBY15_IMG_7011-9918.png,0.9546451,16986,46936,385,1229,0.93252814,0.9778366,0.97448355,0.9753723,0.9132258
43,43,KBY15_IMG_3591-14877.png,0.94929755,777,64676,31,52,0.9372738,0.9616337,0.99919665,0.9987335,0.9034884
44,44,KBY15_IMG_3078-16929.png,0.9505996,3329,61861,43,303,0.9165749,0.98724794,0.9951258,0.99472046,0.90585035
45,45,KBY15_IMG_3249-14706.png,0.9733876,10278,54696,133,429,0.95993274,0.98722506,0.99221766,0.99142456,0.948155
46,46,KBY15_IMG_14877-3420.png,nan,0,65248,2,286,0.0,0.0,0.99563587,0.99560547,0.0
47,47,KBY15_IMG_23256-18468.png,0.9784654,16698,48103,210,525,0.9695175,0.9875798,0.98920375,0.9887848,0.9578386
48,48,KBY15_IMG_7353-16929.png,0.9686661,1623,63808,54,51,0.96953404,0.96779966,0.99920136,0.9983978,0.9392361
49,49,KBY15_IMG_6669-16587.png,0.9359979,1733,63566,142,95,0.94803065,0.9242667,0.99850774,0.99638367,0.8796954
50,50,KBY15_IMG_19836-16074.png,0.9378315,6630,58027,140,739,0.899715,0.9793205,0.9874247,0.9865875,0.8829405
51,51,KBY15_IMG_14877-2394.png,0.9801547,8742,56440,22,332,0.9634119,0.99748975,0.99415207,0.9945984,0.9610818
52,52,KBY15_IMG_12996-7353.png,0.9585445,22128,41494,222,1692,0.92896724,0.9900671,0.9608206,0.9707947,0.9203893
53,53,KBY15_IMG_14706-23085.png,0.93299687,1664,63633,144,95,0.94599205,0.920354,0.9985093,0.99635315,0.87440884
54,54,KBY15_IMG_28044-13167.png,0.9711013,1865,63560,35,76,0.96084493,0.98157895,0.9988057,0.9983063,0.9438259
55,55,KBY15_IMG_17955-24453.png,0.72744113,1963,62102,398,1073,0.64657444,0.83142734,0.9830154,0.9775543,0.57163656
56,56,KBY15_IMG_28215-22059.png,0.9634022,2843,62477,131,85,0.97097,0.9559516,0.9986414,0.9967041,0.9293887
57,57,KBY15_IMG_27018-15903.png,0.95050573,10572,53863,430,671,0.9403184,0.9609162,0.98769575,0.9832001,0.90567976
58,58,KBY15_IMG_15048-2736.png,0.8400837,5621,57775,1710,430,0.9289374,0.76674396,0.9926123,0.9673462,0.72426236
59,59,KBY15_IMG_7695-10089.png,nan,0,65273,11,252,0.0,0.0,0.9961541,0.99598694,0.0
60,60,KBY15_IMG_12825-21546.png,0.97160584,4072,61226,18,220,0.94874185,0.99559903,0.9964196,0.9963684,0.9447796
61,61,KBY15_IMG_19665-15903.png,0.78108054,5978,56207,2534,817,0.87976456,0.70230263,0.9856727,0.9488678,0.6407975
62,62,KBY15_IMG_10431-4617.png,0.9542113,4543,60557,141,295,0.9390244,0.9698975,0.9951522,0.99334717,0.9124322
63,63,KBY15_IMG_11286-4617.png,0.92025596,17541,44955,2122,918,0.95026815,0.89208156,0.9799882,0.9536133,0.8522909
64,64,KBY15_IMG_16416-4446.png,0.9604155,3421,61833,31,251,0.93164486,0.9910197,0.9959571,0.995697,0.9238455
65,65,KBY15_IMG_10602-3078.png,0.2885572,29,65364,142,1,0.96666664,0.16959064,0.9999847,0.997818,0.16860466
66,66,KBY15_IMG_27873-13167.png,0.94970614,4362,60712,198,264,0.94293123,0.95657897,0.99567044,0.99295044,0.90422887
67,67,KBY15_IMG_28557-22914.png,0.9572223,1723,63659,46,108,0.94101584,0.9739966,0.99830633,0.99765015,0.9179542
68,68,KBY15_IMG_12825-21204.png,0.65206945,1221,63012,31,1272,0.48977137,0.97523963,0.9802128,0.9801178,0.48375595
69,69,KBY15_IMG_7182-16587.png,0.9080106,6495,57725,476,840,0.8854806,0.9317171,0.985657,0.97991943,0.83151966
70,70,KBY15_IMG_30267-12825.png,0.8034935,92,65399,32,13,0.8761905,0.7419355,0.9998013,0.99931335,0.67153287
71,71,KBY15_IMG_10944-4959.png,0.92727023,6719,57763,113,941,0.87715405,0.9834602,0.9839704,0.98391724,0.8644024
72,72,KBY15_IMG_29241-23769.png,0.86415666,3133,61418,33,952,0.7669523,0.98957676,0.98473626,0.9849701,0.7608062
73,73,KBY15_IMG_15219-2052.png,0.9378627,8324,56109,793,310,0.9640954,0.91301966,0.9945054,0.98316956,0.88299567
74,74,KBY15_IMG_6840-16416.png,0.9289254,15089,48138,17,2292,0.8681319,0.9988746,0.95455086,0.96476746,0.8672836
75,75,KBY15_IMG_27873-12996.png,0.9525639,3223,61992,147,174,0.94877833,0.95637983,0.997201,0.9951019,0.90942436
76,76,KBY15_IMG_28728-11970.png,0.9247312,473,64986,5,72,0.8678899,0.98953974,0.9988933,0.9988251,0.86
77,77,KBY15_IMG_29241-22914.png,0.9638116,16153,48170,281,932,0.94544923,0.9829013,0.9810191,0.9814911,0.93015087
