,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.7859143,2946,60985,119,1486,0.6647112,0.96117455,0.976213,0.97550964,0.6473303
1,1,KBY15_IMG_3078-14535.png,0.97293305,11862,53014,179,481,0.96103054,0.9851341,0.9910085,0.9899292,0.94729275
2,2,KBY15_IMG_11286-9747.png,0.8728411,4321,59956,4,1255,0.7749283,0.9990751,0.97949713,0.9807892,0.77437276
3,3,KBY15_IMG_3933-13509.png,0.9137779,6735,57530,86,1185,0.8503788,0.9873919,0.97981775,0.9806061,0.84124404
4,4,KBY15_IMG_19836-15732.png,0.9400852,6182,58566,333,455,0.93144494,0.94888717,0.99229085,0.9879761,0.88694406
5,5,KBY15_IMG_30780-24282.png,0.8875244,6360,57564,971,641,0.90844166,0.86754876,0.9889872,0.97540283,0.79779226
6,6,KBY15_IMG_4104-13167.png,0.9081253,6583,57621,388,944,0.87458485,0.9443408,0.9838812,0.9796753,0.83171195
7,7,KBY15_IMG_7182-9918.png,0.97629005,10150,54893,261,232,0.9776536,0.97493035,0.9957914,0.9924774,0.9536785
8,8,KBY15_IMG_7524-9405.png,0.9096478,594,64824,42,76,0.8865672,0.9339623,0.99882895,0.99819946,0.83426964
9,9,KBY15_IMG_9747-4104.png,0.93691206,2042,63219,43,232,0.8979771,0.9793765,0.9963436,0.99580383,0.881312
10,10,KBY15_IMG_29583-12483.png,0.968487,21759,42361,255,1161,0.9493455,0.98841643,0.9733238,0.97839355,0.9388997
11,11,KBY15_IMG_12825-7695.png,0.9412362,7416,57194,253,673,0.9168006,0.96701,0.9883699,0.98587036,0.88899547
12,12,KBY15_IMG_14877-22743.png,0.9204041,1139,64200,192,5,0.9956294,0.8557476,0.9999221,0.996994,0.8525449
13,13,KBY15_IMG_14193-3249.png,0.9083698,6528,57691,1118,199,0.97041774,0.85377973,0.9965624,0.9799042,0.8321224
14,14,KBY15_IMG_20178-22914.png,0.9537438,3299,61917,71,249,0.92981964,0.9789317,0.99599457,0.9951172,0.91157776
15,15,KBY15_IMG_8037-16416.png,0.96895444,16214,48283,220,819,0.9519169,0.9866131,0.9833204,0.9841461,0.93977857
16,16,KBY15_IMG_19836-15903.png,0.4197063,1329,60532,103,3572,0.27116916,0.92807263,0.94427806,0.94392395,0.26558754
17,17,KBY15_IMG_23256-18810.png,0.9128769,2740,62273,13,510,0.84307694,0.9952779,0.9918768,0.99201965,0.83971804
18,18,KBY15_IMG_20520-23085.png,0.9560638,7170,57707,110,549,0.9288768,0.9848901,0.9905761,0.98994446,0.9158258
19,19,KBY15_IMG_12483-21717.png,0.94375473,7450,57198,289,599,0.9255808,0.9626567,0.9896361,0.9864502,0.8934996
20,20,KBY15_IMG_10602-3762.png,0.92350006,7219,57121,22,1174,0.86012155,0.9969618,0.9798611,0.9817505,0.85787284
21,21,KBY15_IMG_32661-24282.png,0.91366905,254,65234,23,25,0.91039425,0.9169675,0.9996169,0.9992676,0.8410596
22,22,KBY15_IMG_30096-12654.png,0.7681962,971,63979,89,497,0.6614441,0.91603774,0.9922917,0.99105835,0.6236352
23,23,KBY15_IMG_27702-27189.png,0.9715974,22201,42037,149,1149,0.9507923,0.99333334,0.97339416,0.9801941,0.9447636
24,24,KBY15_IMG_28557-24111.png,0.9663443,2498,62864,78,96,0.96299154,0.9697205,0.9984752,0.997345,0.93488026
25,25,KBY15_IMG_13509-22401.png,0.88883144,1719,63387,11,419,0.80402243,0.9936416,0.99343324,0.9934387,0.7999069
26,26,KBY15_IMG_7011-10431.png,0.73438656,1999,62091,362,1084,0.6483944,0.84667516,0.9828413,0.9779358,0.58026123
27,27,KBY15_IMG_14535-22914.png,0.9874296,13079,52124,94,239,0.98205435,0.9928642,0.9954357,0.9949188,0.9751715
28,28,KBY15_IMG_7524-17271.png,0.9771185,16697,48057,211,571,0.9669331,0.9875207,0.98825777,0.9880676,0.9552606
29,29,KBY15_IMG_7695-15903.png,0.9638638,11016,53694,1,825,0.9303268,0.9999092,0.98486763,0.98739624,0.93024826
30,30,KBY15_IMG_15048-2223.png,0.79977375,2121,62353,354,708,0.7497349,0.8569697,0.98877275,0.98379517,0.6663525
31,31,KBY15_IMG_11970-3762.png,0.98646367,8745,56551,19,221,0.97535133,0.99783206,0.9961072,0.9963379,0.97328883
32,32,KBY15_IMG_30438-24111.png,0.8768776,3561,60975,738,262,0.9314674,0.8283322,0.9957215,0.9847412,0.78074986
33,33,KBY15_IMG_19836-16416.png,0.9634672,6369,58684,61,422,0.93785894,0.9905132,0.99286026,0.99263,0.92950964
34,34,KBY15_IMG_13680-22401.png,0.9566678,10255,54352,386,543,0.94971293,0.9637252,0.9901084,0.9858246,0.9169349
35,35,KBY15_IMG_23085-9234.png,0.91922134,3943,60900,92,601,0.86773765,0.9771995,0.9902278,0.98942566,0.8505177
36,36,KBY15_IMG_22743-9576.png,0.9778465,15802,49018,119,597,0.96359533,0.9925256,0.9879674,0.9890747,0.95665336
37,37,KBY15_IMG_10773-3420.png,0.93997836,2169,63090,114,163,0.93010294,0.95006573,0.99742305,0.9957733,0.88675386
38,38,KBY15_IMG_13680-20520.png,0.9256866,573,64871,37,55,0.9124204,0.9393443,0.9991529,0.9985962,0.86165416
39,39,KBY15_IMG_20007-23598.png,0.94180703,615,64845,13,63,0.90707964,0.97929937,0.9990294,0.99884033,0.89001447
40,40,KBY15_IMG_10773-2907.png,0.9503842,5009,60004,1,522,0.90562284,0.9998004,0.9913756,0.99201965,0.90545917
41,41,KBY15_IMG_7011-16245.png,0.86068964,4368,59754,589,825,0.8411323,0.88117814,0.9863814,0.9784241,0.7554479
42,42,KBY15_IMG_7011-9918.png,0.95589507,3316,61914,56,250,0.92989343,0.98339266,0.99597836,0.9953308,0.9155163
43,43,KBY15_IMG_3591-14877.png,0.89912695,16735,45046,2928,827,0.9529097,0.8510909,0.981972,0.94270325,0.81673986
44,44,KBY15_IMG_3078-16929.png,0.9778577,4350,60989,23,174,0.96153843,0.9947404,0.99715513,0.996994,0.95667475
45,45,KBY15_IMG_3249-14706.png,0.9447715,1685,63654,123,74,0.9579306,0.93196905,0.99883884,0.996994,0.8953241
46,46,KBY15_IMG_14877-3420.png,0.97865766,10134,54960,30,412,0.960933,0.9970484,0.99255943,0.9932556,0.95820725
47,47,KBY15_IMG_23256-18468.png,nan,0,65173,2,361,0.0,0.0,0.9944914,0.99446106,0.0
48,48,KBY15_IMG_7353-16929.png,0.928523,2741,62373,0,422,0.86658233,1.0,0.9932797,0.9935608,0.86658233
49,49,KBY15_IMG_6669-16587.png,0.97653115,6075,59169,168,124,0.9799968,0.9730899,0.9979087,0.99554443,0.9541385
