,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.90062976,3861,60823,438,414,0.9031579,0.8981158,0.9932394,0.9869995,0.8192234
1,1,KBY15_IMG_3078-14535.png,0.9744517,6198,59013,45,280,0.9567768,0.99279195,0.9952777,0.9950409,0.9501763
2,2,KBY15_IMG_11286-9747.png,0.95799536,3307,61939,65,225,0.9362967,0.9807236,0.99638057,0.99557495,0.91937727
3,3,KBY15_IMG_3933-13509.png,0.69632846,1925,61932,436,1243,0.6076389,0.8153325,0.9803245,0.9743805,0.5341287
4,4,KBY15_IMG_19836-15732.png,0.9617695,3522,61734,101,179,0.9516347,0.97212255,0.9971088,0.99572754,0.9263545
5,5,KBY15_IMG_30780-24282.png,nan,0,65513,23,0,nan,0.0,1.0,0.99964905,0.0
6,6,KBY15_IMG_4104-13167.png,0.9214502,2745,62323,8,460,0.8564743,0.9970941,0.99267316,0.9928589,0.85434175
7,7,KBY15_IMG_7182-9918.png,0.9404672,1248,64130,6,152,0.8914286,0.9952153,0.9976354,0.9975891,0.88762444
8,8,KBY15_IMG_7524-9405.png,0.950227,16953,46807,418,1358,0.9258369,0.9759369,0.9718053,0.9729004,0.9051738
9,9,KBY15_IMG_9747-4104.png,0.6576402,850,63801,12,873,0.4933256,0.98607886,0.9865015,0.986496,0.48991355
10,10,KBY15_IMG_29583-12483.png,0.93921727,1692,63625,116,103,0.94261837,0.9358407,0.99838376,0.9966583,0.8854003
11,11,KBY15_IMG_12825-7695.png,0.898638,6565,57490,406,1075,0.8592932,0.9417587,0.98164433,0.97740173,0.8159334
12,12,KBY15_IMG_14877-22743.png,0.6645414,2710,60090,355,2381,0.5323119,0.8841762,0.9618863,0.95825195,0.49761292
13,13,KBY15_IMG_14193-3249.png,0.57142854,4,65526,2,4,0.5,0.6666667,0.99993896,0.99990845,0.4
14,14,KBY15_IMG_20178-22914.png,0.9411815,11017,53142,0,1377,0.88889784,1.0,0.97474277,0.97898865,0.88889784
15,15,KBY15_IMG_8037-16416.png,0.9555068,10233,54350,178,775,0.92959666,0.9829027,0.98594105,0.9854584,0.9148042
16,16,KBY15_IMG_19836-15903.png,0.89522177,4178,60380,191,787,0.84149045,0.9562829,0.98713356,0.9850769,0.81031805
17,17,KBY15_IMG_23256-18810.png,0.9160144,4330,60412,43,751,0.8521944,0.99016696,0.9877213,0.9878845,0.84504294
