,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.8728103,573,64796,63,104,0.84638107,0.9009434,0.9983975,0.9974518,0.7743243
1,1,KBY15_IMG_3078-14535.png,0.8851675,7955,55517,192,1872,0.80950445,0.97643304,0.9673805,0.96850586,0.7939914
2,2,KBY15_IMG_11286-9747.png,0.929342,5169,59581,362,424,0.92419094,0.9345507,0.9929339,0.9880066,0.8680101
3,3,KBY15_IMG_3933-13509.png,0.95330346,11810,52569,231,926,0.9272927,0.98081553,0.98269,0.9823456,0.9107735
4,4,KBY15_IMG_19836-15732.png,0.9325513,954,64444,111,27,0.9724771,0.89577466,0.9995812,0.9978943,0.87362635
5,5,KBY15_IMG_30780-24282.png,0.9402606,8696,55735,421,684,0.9270789,0.95382255,0.9878764,0.98313904,0.8872564
6,6,KBY15_IMG_4104-13167.png,0.93620735,2150,63093,133,160,0.93073595,0.9417433,0.9974705,0.9955292,0.8800655
7,7,KBY15_IMG_7182-9918.png,0.9174392,5245,59347,84,860,0.8591319,0.9842372,0.9857159,0.9855957,0.8474713
8,8,KBY15_IMG_7524-9405.png,0.82926834,17,65512,3,4,0.8095238,0.85,0.99993896,0.9998932,0.7083333
9,9,KBY15_IMG_9747-4104.png,0.8745642,5644,58273,2,1617,0.7773034,0.99964577,0.9730005,0.975296,0.77708936
10,10,KBY15_IMG_29583-12483.png,0.7982646,184,65259,70,23,0.8888889,0.72440946,0.9996477,0.99858093,0.6642599
11,11,KBY15_IMG_12825-7695.png,0.95668435,3324,61911,48,253,0.9292703,0.9857651,0.99593014,0.9954071,0.91696554
12,12,KBY15_IMG_14877-22743.png,0.939298,3412,61683,81,360,0.9045599,0.97681075,0.99419755,0.9932709,0.8855437
13,13,KBY15_IMG_14193-3249.png,0.9411239,7361,57254,73,848,0.8966988,0.99018025,0.98540497,0.98594666,0.88879496
14,14,KBY15_IMG_20178-22914.png,0.94972825,4194,60898,366,78,0.98174155,0.91973686,0.9987208,0.9932251,0.9042691
15,15,KBY15_IMG_8037-16416.png,0.9750745,6220,58998,23,295,0.9547199,0.9963159,0.9950247,0.9951477,0.9513613
