,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_28215-22059.png,nan,0,65309,23,204,0.0,0.0,0.99688613,0.99653625,0.0
1,1,KBY15_IMG_8037-16416.png,0.2780749,78,65053,400,5,0.939759,0.16317992,0.99992317,0.9938202,0.16149068
2,2,KBY15_IMG_29241-22914.png,0.6386991,8366,47705,9465,0,1.0,0.46918288,1.0,0.85557556,0.46918288
3,3,KBY15_IMG_29925-23256.png,0.82994384,3326,60847,1358,5,0.998499,0.71007687,0.9999178,0.9792023,0.7093197
4,4,KBY15_IMG_7524-17271.png,0.95777327,4026,61155,347,8,0.99801683,0.92064947,0.9998692,0.99458313,0.91896826
5,5,KBY15_IMG_28728-11457.png,0.82482725,6505,56268,1234,1529,0.80968386,0.84054786,0.9735453,0.95783997,0.7018774
6,6,KBY15_IMG_3933-13509.png,0.88749313,2402,62525,555,54,0.97801304,0.8123098,0.9991371,0.9907074,0.7977416
7,7,KBY15_IMG_20178-22914.png,0.291116,793,60881,639,3223,0.19746016,0.55377096,0.94972235,0.94107056,0.17035446
8,8,KBY15_IMG_15732-2907.png,0.97812384,9859,55236,305,136,0.9863932,0.9699921,0.9975439,0.9932709,0.9571845
9,9,KBY15_IMG_16074-21717.png,0.8074603,4416,59014,2099,7,0.9984174,0.67782044,0.9998814,0.967865,0.6770929
10,10,KBY15_IMG_12483-21033.png,0.8264293,2414,62108,956,58,0.9765372,0.71632046,0.999067,0.9845276,0.7042007
11,11,KBY15_IMG_12825-21204.png,0.9045583,5606,58747,891,292,0.95049167,0.8628598,0.9950541,0.98194885,0.82574755
12,12,KBY15_IMG_14877-22743.png,0.7772953,4923,57792,2521,300,0.94256175,0.661338,0.9948358,0.95695496,0.635718
13,13,KBY15_IMG_11970-3762.png,0.9374854,4004,60998,321,213,0.94949013,0.92578036,0.9965202,0.9918518,0.882327
14,14,KBY15_IMG_9747-4104.png,0.022179363,46,61434,3641,415,0.09978308,0.012476268,0.9932901,0.93811035,0.011214042
15,15,KBY15_IMG_19836-22743.png,0.8774605,7712,55670,1307,847,0.90103984,0.8550837,0.98501337,0.96713257,0.78167444
16,16,KBY15_IMG_19836-16416.png,0.17699951,187,63610,1543,196,0.48825064,0.10809249,0.9969282,0.97346497,0.09709242
17,17,KBY15_IMG_7353-17100.png,0.53931624,2524,58700,4308,4,0.99841774,0.36943793,0.9999319,0.9342041,0.36922178
18,18,KBY15_IMG_20007-23598.png,0.6183678,2902,59052,2427,1155,0.7153069,0.54456747,0.9808162,0.945343,0.44756323
19,19,KBY15_IMG_10602-3078.png,0.464499,3150,55123,7261,2,0.9993655,0.3025646,0.9999637,0.8891754,0.30250648
20,20,KBY15_IMG_27873-13167.png,0.33623692,193,64581,417,345,0.35873607,0.31639344,0.99468625,0.9883728,0.20209424
