,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.94068664,7343,57267,91,835,0.89789677,0.98775893,0.9856287,0.98587036,0.8880155
1,1,KBY15_IMG_3078-14535.png,0.89050716,1712,63403,18,403,0.8094563,0.98959535,0.993684,0.99357605,0.8026254
2,2,KBY15_IMG_11286-9747.png,0.9217323,1160,64179,171,26,0.9780776,0.87152517,0.99959505,0.996994,0.8548268
3,3,KBY15_IMG_3933-13509.png,0.9051034,6562,57598,409,967,0.8715633,0.94132835,0.98348844,0.9790039,0.8266566
4,4,KBY15_IMG_19836-15732.png,0.9397425,2737,62448,4,347,0.8874838,0.9985407,0.99447405,0.99464417,0.8863342
5,5,KBY15_IMG_30780-24282.png,0.9134209,3893,60905,406,332,0.9214201,0.9055594,0.9945784,0.988739,0.8406392
6,6,KBY15_IMG_4104-13167.png,0.841961,6758,56241,1754,783,0.89616764,0.793938,0.98626894,0.96128845,0.7270576
7,7,KBY15_IMG_7182-9918.png,0.91816825,1223,64095,31,187,0.8673759,0.9752791,0.99709094,0.9966736,0.84871614
8,8,KBY15_IMG_7524-9405.png,0.945241,16580,47035,791,1130,0.93619424,0.9544643,0.97653896,0.97068787,0.89616776
9,9,KBY15_IMG_9747-4104.png,0.94473064,3393,61746,100,297,0.9195122,0.9713713,0.995213,0.99394226,0.8952507
10,10,KBY15_IMG_29583-12483.png,0.80271727,2895,61218,170,1253,0.6979267,0.9445351,0.9799427,0.97828674,0.67044926
11,11,KBY15_IMG_12825-7695.png,0.68751776,1209,63228,43,1056,0.53377485,0.96565497,0.9835729,0.9832306,0.5238302
12,12,KBY15_IMG_14877-22743.png,0.4354865,1345,60704,87,3400,0.28345627,0.9392458,0.94696116,0.9467926,0.27835265
13,13,KBY15_IMG_14193-3249.png,0.97136027,15839,48763,82,852,0.9489545,0.99484956,0.9828278,0.9857483,0.94431525
14,14,KBY15_IMG_20178-22914.png,0.2,2,65518,4,12,0.14285715,0.33333334,0.9998169,0.99975586,0.11111111
15,15,KBY15_IMG_8037-16416.png,0.9562994,8414,56353,175,594,0.9340586,0.9796251,0.98956925,0.988266,0.9162583
16,16,KBY15_IMG_19836-15903.png,0.89329726,6597,57363,734,842,0.88681275,0.89987725,0.9855339,0.97595215,0.80717
17,17,KBY15_IMG_23256-18810.png,0.96327394,22255,41584,95,1602,0.9328499,0.9957494,0.96290463,0.97410583,0.92915
18,18,KBY15_IMG_20520-23085.png,0.94411707,7290,57383,443,420,0.9455253,0.942713,0.99273396,0.98683167,0.8941494
19,19,KBY15_IMG_12483-21717.png,0.9424037,8492,56006,625,413,0.95362157,0.93144673,0.9926798,0.9841614,0.8910808
20,20,KBY15_IMG_10602-3762.png,0.9696569,17576,46860,255,845,0.95412844,0.98569906,0.982287,0.98321533,0.9411009
21,21,KBY15_IMG_32661-24282.png,nan,0,65269,2,265,0.0,0.0,0.9959563,0.9959259,0.0
