,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.93260163,7223,57269,510,534,0.93115896,0.9340489,0.9907617,0.9840698,0.87371475
1,1,KBY15_IMG_3078-14535.png,0.9594826,2522,62801,54,159,0.9406938,0.9790373,0.9974746,0.9967499,0.92212063
2,2,KBY15_IMG_11286-9747.png,0.9141836,5630,58849,16,1041,0.8439514,0.99716616,0.98261815,0.98387146,0.8419321
3,3,KBY15_IMG_3933-13509.png,0.94979614,16885,46866,486,1299,0.9285636,0.97202235,0.9730302,0.97276306,0.90439206
4,4,KBY15_IMG_19836-15732.png,0.90309817,7987,55835,160,1554,0.837124,0.98036087,0.97292167,0.97384644,0.82331717
5,5,KBY15_IMG_30780-24282.png,0.9347079,4896,59956,114,570,0.895719,0.9772455,0.9905826,0.989563,0.87741935
6,6,KBY15_IMG_4104-13167.png,0.937788,1221,64153,33,129,0.90444446,0.9736842,0.99799323,0.9975281,0.88286334
7,7,KBY15_IMG_7182-9918.png,0.8796844,223,65252,34,27,0.892,0.8677043,0.9995864,0.9990692,0.78521127
8,8,KBY15_IMG_7524-9405.png,0.9443125,1789,63536,86,125,0.9346917,0.95413333,0.9980365,0.9967804,0.8945
9,9,KBY15_IMG_9747-4104.png,0.73114336,1992,62079,369,1096,0.6450777,0.8437103,0.98265135,0.9776459,0.5762222
10,10,KBY15_IMG_29583-12483.png,0.9245467,4742,60020,27,747,0.86390966,0.99433845,0.98770714,0.9881897,0.85968095
11,11,KBY15_IMG_12825-7695.png,0.9775085,13147,51784,26,579,0.95781726,0.99802625,0.98894256,0.99076843,0.9560064
12,12,KBY15_IMG_14877-22743.png,0.8728256,1129,64078,202,127,0.89888537,0.8482344,0.99802196,0.99497986,0.77434844
13,13,KBY15_IMG_14193-3249.png,0.8028404,961,64103,99,373,0.7203898,0.90660375,0.9942149,0.99279785,0.6706211
14,14,KBY15_IMG_20178-22914.png,0.9564785,2879,62395,95,167,0.945174,0.9680565,0.99733067,0.9960022,0.91658705
15,15,KBY15_IMG_8037-16416.png,0.3412322,36,65361,135,4,0.9,0.21052632,0.9999388,0.997879,0.20571429
16,16,KBY15_IMG_19836-15903.png,0.8770683,4320,60005,5,1206,0.78175896,0.9988439,0.9802977,0.9815216,0.78105223
17,17,KBY15_IMG_23256-18810.png,0.9427583,12130,51933,316,1157,0.9129224,0.9746103,0.9782068,0.9775238,0.89171505
18,18,KBY15_IMG_20520-23085.png,0.9301277,619,64824,9,84,0.8805121,0.9856688,0.99870586,0.99858093,0.869382
19,19,KBY15_IMG_12483-21717.png,0.9328868,7381,57093,288,774,0.9050889,0.9624462,0.9866245,0.98379517,0.8742153
20,20,KBY15_IMG_10602-3762.png,0.9508979,7572,57182,167,615,0.9248809,0.978421,0.9893593,0.9880676,0.90639216
21,21,KBY15_IMG_32661-24282.png,0.9060169,3644,61136,43,713,0.83635527,0.9883374,0.9884719,0.98846436,0.8281818
22,22,KBY15_IMG_30096-12654.png,0.9126968,6696,57559,275,1006,0.8693846,0.96055084,0.9828225,0.9804535,0.8394133
23,23,KBY15_IMG_27702-27189.png,0.95840913,7374,57522,29,611,0.9234815,0.99608266,0.9894896,0.9902344,0.92013973
24,24,KBY15_IMG_28557-24111.png,0.94018567,2735,62453,6,342,0.8888528,0.997811,0.9945537,0.99468994,0.8871229
25,25,KBY15_IMG_13509-22401.png,0.9535403,19190,44476,473,1397,0.93214166,0.97594464,0.9695464,0.97146606,0.91120607
26,26,KBY15_IMG_7011-10431.png,0.9375443,11904,52046,137,1449,0.89148504,0.9886222,0.9729134,0.97579956,0.88243145
27,27,KBY15_IMG_14535-22914.png,0.9383438,4170,60818,129,419,0.9086947,0.969993,0.99315774,0.9916382,0.8838491
28,28,KBY15_IMG_7524-17271.png,0.93488574,2168,63066,115,187,0.92059445,0.9496277,0.9970436,0.99539185,0.8777328
29,29,KBY15_IMG_7695-15903.png,0.92076576,6926,57418,405,787,0.8979645,0.94475514,0.9864788,0.9818115,0.8531658
30,30,KBY15_IMG_15048-2223.png,0.93768704,6892,57728,41,875,0.8873439,0.99408627,0.98506904,0.98602295,0.8826844
31,31,KBY15_IMG_11970-3762.png,0.92362344,260,65233,17,26,0.90909094,0.93862814,0.9996016,0.9993439,0.8580858
32,32,KBY15_IMG_30438-24111.png,0.9410805,6924,57745,440,427,0.94191265,0.94024986,0.9926597,0.98677063,0.8887178
33,33,KBY15_IMG_19836-16416.png,0.6631717,506,64516,89,425,0.5435016,0.8504202,0.9934556,0.992157,0.49607843
34,34,KBY15_IMG_13680-22401.png,0.9378925,2016,63253,22,245,0.89164084,0.9892051,0.9961416,0.9959259,0.8830486
35,35,KBY15_IMG_23085-9234.png,0.9531878,3319,61891,53,273,0.92399776,0.9842823,0.9956084,0.99502563,0.9105624
36,36,KBY15_IMG_22743-9576.png,0.8613897,4810,59178,380,1168,0.8046169,0.92678225,0.98064494,0.9763794,0.7565272
37,37,KBY15_IMG_10773-3420.png,0.6865285,795,64015,5,721,0.5244063,0.99375,0.98886245,0.9889221,0.5226824
