,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.0073502394,34.349022,56223.98,0.019607844,9277.65,0.003688684,0.99942946,0.85836,0.858434,0.0036886763
1,1,KBY15_IMG_3078-14535.png,0.0072490205,18.466667,60459.527,0.47450987,5057.533,0.0036380354,0.9749482,0.92280585,0.922821,0.0036376952
2,2,KBY15_IMG_11286-9747.png,1.1086954e-07,0.0,65535.91,0.09019609,0.0,nan,0.0,1.0,0.9999986,0.0
3,3,KBY15_IMG_3933-13509.png,0.0070394995,6.882353,63587.53,0.4705883,1941.1177,0.0035330353,0.936,0.97037756,0.97037375,0.003532182
4,4,KBY15_IMG_19836-15732.png,0.0071059573,25.2902,58443.266,0.737255,7066.71,0.0035660178,0.97167397,0.8921277,0.89215934,0.0035656472
5,5,KBY15_IMG_30780-24282.png,0.005793498,12.3529415,61283.938,0.0627451,4239.647,0.0029052072,0.9949463,0.9352958,0.93530715,0.0029051646
6,6,KBY15_IMG_4104-13167.png,0.0058889952,26.819607,56454.438,6.560785,9048.181,0.0029553287,0.803454,0.8618654,0.8618356,0.0029531934
7,7,KBY15_IMG_7182-9918.png,0.007679625,10.109804,62913.22,1.7803924,2610.8901,0.0038572317,0.85026383,0.96015376,0.9601338,0.0038546135
8,8,KBY15_IMG_7524-9405.png,0.0073164506,28.890196,57667.562,1.4352942,7838.1104,0.0036723267,0.9526704,0.88034457,0.88037807,0.0036716566
9,9,KBY15_IMG_9747-4104.png,0.002992193,4.8666673,62287.957,0.04313726,3243.1333,0.0014983582,0.9912141,0.95051,0.95051306,0.0014983382
10,10,KBY15_IMG_29583-12483.png,0.006315901,10.74902,62142.953,0.04705883,3382.2512,0.0031679985,0.9956411,0.94838244,0.94839025,0.0031679545
11,11,KBY15_IMG_12825-7695.png,0.006556357,59.168625,47545.93,0.070588246,17930.832,0.0032889731,0.99880844,0.7261497,0.72639614,0.00328896
12,12,KBY15_IMG_14877-22743.png,0.0069169486,26.176472,57993.383,0.6156863,7515.824,0.0034707598,0.9770199,0.8852707,0.8853082,0.0034704765
13,13,KBY15_IMG_14193-3249.png,0.007392346,19.360785,60317.297,0.70196086,5198.6396,0.0037103838,0.9650117,0.9206507,0.9206643,0.0037098846
14,14,KBY15_IMG_20178-22914.png,0.007013974,43.16471,53270.96,0.03921569,12221.836,0.0035193402,0.99909234,0.81338656,0.813509,0.003519329
15,15,KBY15_IMG_8037-16416.png,0.00438653,3.3411767,64015.96,0.039215688,1516.6589,0.0021981425,0.988399,0.9768564,0.976857,0.0021980857
16,16,KBY15_IMG_19836-15903.png,0.007066822,47.72157,52077.914,1.0862746,13409.278,0.0035462265,0.97774386,0.7952382,0.7953741,0.0035459404
17,17,KBY15_IMG_23256-18810.png,0.0069846273,29.003923,57259.93,1.0705884,8245.996,0.003505006,0.96440214,0.8741183,0.87415975,0.0035045526
18,18,KBY15_IMG_20520-23085.png,0.007450539,51.4,51789.742,0.25882357,13694.601,0.0037392695,0.99498975,0.7908721,0.791033,0.0037391991
19,19,KBY15_IMG_12483-21717.png,0.007084662,59.89412,48687.785,17.215687,16771.105,0.0035585598,0.77673805,0.74379176,0.74383056,0.0035549237
20,20,KBY15_IMG_10602-3762.png,0.007667837,16.44706,61262.562,1.4352943,4255.5527,0.0038499672,0.9197368,0.9350477,0.9350435,0.0038486742
21,21,KBY15_IMG_32661-24282.png,0.006638898,2.431373,64805.97,0.031372555,727.56866,0.0033306475,0.9872612,0.98889774,0.9888977,0.0033305043
22,22,KBY15_IMG_30096-12654.png,0.0037203645,10.913726,59679.895,1.1058825,5844.0864,0.001864001,0.90799344,0.91081,0.91080946,0.001863649
23,23,KBY15_IMG_27702-27189.png,0.007539742,11.070589,62610.477,0.5254903,2913.9294,0.0037848167,0.95468384,0.9555291,0.955529,0.0037841368
24,24,KBY15_IMG_28557-24111.png,0.0076060384,7.2274513,63642.777,0.22352944,1885.7725,0.0038179883,0.97,0.9712221,0.971222,0.0038175376
