Experiment,mean_Precision,mean_Recall(TPR),mean_Specificity(TNR),mean_OA,mean_Dice,mean_IoU
winKBY_4Unet,0.846848487854004,0.883819580078125,0.987618386745453,0.985645651817322,0.883683323860168,0.768571853637695
winKBY_EB1-Unet-IMN,0.835587859153748,0.888911724090576,0.990789771080017,0.98942106962204,0.885393798351288,0.792986690998077
winKBY_EB1-Unet-qubvel,0.842267453670502,0.894134640693665,0.990570306777954,0.989732623100281,0.892345726490021,0.799392879009247
winKBY_EB1-Unet-NoIMN,0.844002842903137,0.878585577011108,0.990536391735077,0.988506317138672,0.887018859386444,0.78364884853363
globKBY_4Unet,0.876088648455542,0.957042285911804,0.988149726987857,0.985645630780388,0.914777954002117,0.842940813242474
globKBY_EB1-Unet-IMN,0.906423641002363,0.968574427190988,0.99124608943309,0.989421059103573,0.936468974309045,0.880528119713893
globKBY_EB1-Unet-qubvel,0.905570133665066,0.974019928276047,0.991108207593434,0.989732630112592,0.938548648986219,0.88421259070406
globKBY_EB1-Unet-NoIMN,0.902977163157557,0.960412447576424,0.990965811038674,0.988506317138672,0.930809641073578,0.870574293251397
winALL_4Unet,0.800975620746613,0.902436852455139,0.916063070297241,0.939533829689026,0.857208132743835,0.745170652866364
winALL_EB1-Unet-IMN,0.762915790081024,0.898345589637756,0.904668390750885,0.931391656398773,0.829715549945831,0.718723893165588
winALL_EB1-Unet-qubvel,0.760016262531281,0.897031247615814,0.901228010654449,0.928256869316101,0.828467071056366,0.714154124259949
winALL_EB1-Unet-NoIMN,0.811898231506348,0.880569875240326,0.904042959213257,0.925277650356293,0.811898231506348,0.699716567993164
globALL_4Unet,0.810815285020404,0.94124034523009,0.939060222754339,0.939533768577137,0.871173318487984,0.771751175584442
globALL_EB1-Unet-IMN,0.787711495941837,0.936535774568188,0.929964235340173,0.931391643655711,0.855700929449568,0.747794830452809
globALL_EB1-Unet-qubvel,0.780991001404883,0.930697856490893,0.927579611007119,0.928256927139458,0.84929763676765,0.738068908090146
globALL_EB1-Unet-NoIMN,0.778490971025587,0.916876282646316,0.927608962297886,0.925277709960938,0.842035737143943,0.727169019074135
